"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"SAMD11" 246.752786543077 -1.59807994462289 0.109403089830957 -14.6072651795497 2.5245002311011e-48 2.16187240720727e-46
"NOC2L" 1056.68387592848 -1.09671309402228 0.110336304058587 -9.93973020375904 2.79583325819483e-23 5.43760035268984e-22
"KLHL17" 115.116247109772 -1.11310177032921 0.208094046938187 -5.34903226068666 8.84257802175334e-08 3.55731825951599e-07
"C1orf159" 104.692908264009 -1.4615186336005 0.21748504799385 -6.72008787308369 1.81615003196056e-11 1.20353985621286e-10
"ACAP3" 251.22125347609 -1.34169540138907 0.166939026858116 -8.03703859211665 9.2035689393051e-16 9.60073900590212e-15
"AURKAIP1" 592.399405092732 -1.39642198843119 0.146596605464338 -9.52560930048879 1.64076554250879e-21 2.89083523893056e-20
"VWA1" 381.909141403112 -1.04736777970999 0.196313495172193 -5.33517972766622 9.54499656376139e-08 3.81765304271803e-07
"ATAD3B" 88.4814334443221 -1.51223113633763 0.305935466517688 -4.94297426039094 7.69396453546154e-07 2.68462495967289e-06
"ATAD3A" 281.382193942798 -1.24153050232094 0.158525774891441 -7.83172643799498 4.81215699661945e-15 4.6266230062363e-14
"LOC100129534" 15.4073835044145 -1.13600515286319 0.300544977879426 -3.77981745320976 0.00015694337985444 0.000376739138907431
"TNFRSF9" 158.590538372324 2.25617053572565 0.166309337405379 13.5661086197838 6.36105742507837e-42 4.13356478675534e-40
"ERRFI1" 2653.26868016592 1.49390585124772 0.205424681781226 7.27228022598916 3.53469371086062e-13 2.82749901693535e-12
"TMEM201" 103.943806037373 -1.24861480988009 0.164979345483212 -7.56830987674842 3.78111185847318e-14 3.31244589219296e-13
"KLHDC7A" 151.468739656845 -2.35259005530448 0.182322940019162 -12.9034232064118 4.30538201242403e-38 2.21216535308132e-36
"ALDH4A1" 417.880937483162 -1.83594154875031 0.132902773000013 -13.8141703691174 2.09352229764701e-43 1.47306629440169e-41
"IFFO2" 741.185323713774 -1.02258196717566 0.0746083127860066 -13.7060057919907 9.34631295554912e-43 6.33427725275774e-41
"RAP1GAP" 334.358680737481 -1.3720441853812 0.116529386599522 -11.7742333107486 5.29967464936368e-32 1.87645852088207e-30
"ID3" 1338.00274985253 -1.00964921346245 0.121913201833746 -8.28170533031623 1.21423747768361e-16 1.3828537542238e-15
"STPG1" 154.58486899114 1.07103857160837 0.117923650777875 9.08247467359889 1.06133788533037e-19 1.60610953688282e-18
"CLIC4" 1019.44450664752 1.29705232761137 0.168563737564947 7.69472928370268 1.41794064183032e-14 1.30099586962621e-13
"UBXN11" 120.616933313888 -1.26215523258006 0.189683407774828 -6.65400968585696 2.85213891585403e-11 1.85229738997292e-10
"NUDC" 1349.09953973606 -1.1899847266201 0.114874088982554 -10.359035158928 3.80783605581926e-25 8.3462628786975e-24
"PTAFR" 306.809757723965 1.44072556693436 0.282152900812641 5.10618732887331 3.28723821960737e-07 1.21451908401346e-06
"SESN2" 469.890882488939 1.7104766005106 0.131550582718228 13.0024251141047 1.18524195358273e-38 6.38700871279433e-37
"SPOCD1" 52.6073613516842 1.38297785040413 0.20836121488129 6.6374053884839 3.19252744121946e-11 2.06124200135309e-10
"YARS" 1401.73764870553 1.16793241665362 0.114405655973906 10.2086947250231 1.81287095055407e-24 3.80737364843551e-23
"CLSPN" 214.659123195717 -1.4432039163597 0.136168687884593 -10.598647448104 3.02320796246796e-26 7.2132566655256e-25
"SH3D21" 87.6734010332 1.51989007288638 0.286481352489432 5.30537174471924 1.12443605133857e-07 4.44742035772904e-07
"RRAGC" 400.311431588149 1.08781536902388 0.11843730089945 9.18473623396232 4.12537094489124e-20 6.49187647125549e-19
"RHBDL2" 133.943579296033 1.1062407454501 0.188755620609795 5.86070360117637 4.60910029248155e-09 2.22927893743624e-08
"CTPS1" 1302.66846528922 1.02600557584946 0.103643322372751 9.89938910062578 4.18825527740786e-23 8.08875105760919e-22
"SLFNL1-AS1" 31.6226732643254 1.49145751659027 0.219152538115938 6.80556807332639 1.0065127132986e-11 6.83401717505204e-11
"CDC20" 616.900269100008 -1.08716914214524 0.123961051973705 -8.77024779021598 1.78273525025837e-18 2.40940747653841e-17
"TMEM53" 72.2141028976901 -1.61588631966398 0.228619930372266 -7.06800285098854 1.57179320117454e-12 1.17719318599153e-11
"BTBD19" 41.7471650228109 -1.27230063784539 0.234627209650768 -5.42264744033377 5.8722742344311e-08 2.42689911963189e-07
"TOE1" 114.44741946045 -1.05853518970129 0.121878918850768 -8.6851376733772 3.78283942371331e-18 4.96306735317826e-17
"PIK3R3" 170.566117180535 -2.54469389593195 0.222848984824322 -11.4189162581916 3.36402589964256e-30 1.06788488831469e-28
"RAD54L" 95.2637910240631 -1.63484490732085 0.157458572035031 -10.382698675542 2.97251600107144e-25 6.58063812902528e-24
"PDZK1IP1" 897.091961903905 1.74450396527844 0.143250111026625 12.1780287133893 4.07000367412691e-34 1.59437342510922e-32
"TRABD2B" 19.1257751414731 1.62625581978201 0.315256335765104 5.15851906936367 2.48910760552979e-07 9.37829867608716e-07
"CDKN2C" 181.619170170401 -2.29019171947126 0.168330814004066 -13.6053029448069 3.72422037330298e-42 2.49342196750776e-40
"BTF3L4" 532.901611309632 1.04326400713858 0.132775791876614 7.85733598266217 3.92389308747041e-15 3.82926209693336e-14
"ORC1" 194.386034814576 -1.67935655769597 0.120539265416471 -13.9320291350183 4.04692433702359e-44 2.9030112435779e-42
"ACOT11" 47.1065986554693 -1.37168126168828 0.225569247407724 -6.08097636292114 1.19452903501013e-09 6.25401054490848e-09
"DHCR24" 3569.7208824108 -2.07765005045627 0.0845205188248493 -24.5816055005738 1.98717685463199e-133 2.74404283913995e-130
"PCSK9" 575.582563013302 -2.00149880871607 0.136656865568279 -14.6461635893152 1.42539942762098e-48 1.25971099815432e-46
"JUN" 2876.7402753692 1.81953600067734 0.137257043737433 13.2564125755035 4.14242795646101e-40 2.44713377727405e-38
"GADD45A" 1712.0929200362 2.07569706125306 0.134958393406482 15.3802739411788 2.22006380078163e-53 2.35817738531102e-51
"CYR61" 1838.28024298436 1.77664038989962 0.117638484793707 15.1025439762776 1.5580431758118e-51 1.59367620029564e-49
"GBP3" 530.580133658142 1.42794730608756 0.159796390994397 8.93604227981363 4.03357696675415e-19 5.75696702218774e-18
"GBP1" 406.509912954603 1.72820867940076 0.193452583364618 8.93350013394987 4.12738841834697e-19 5.88325933644889e-18
"GBP2" 319.49000705653 1.59643173378497 0.161158188589219 9.90599204272618 3.9205953760378e-23 7.58508180719608e-22
"LRRC8C" 223.481211607291 1.15798740243553 0.138031982899578 8.38926876300829 4.89175230547566e-17 5.8044240299237e-16
