"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ISG15" 674.8752009888 2.48173432779348 0.169334238510072 14.6558330413838 1.23630979830666e-48 6.62986133101635e-47
"AURKAIP1" 592.399405092732 -1.20244023503054 0.146507745123594 -8.20734927028027 2.26125061446251e-16 2.39043402277199e-15
"VWA1" 381.909141403112 -1.38137822576395 0.188374005912314 -7.3331679658974 2.24774930199004e-13 1.80588265738792e-12
"ATAD3A" 281.382193942798 -1.05969755737672 0.156235239981626 -6.78270508946219 1.17946249425336e-11 7.80678380708022e-11
"HES2" 746.816778359232 1.4695848487527 0.51796048017315 2.83725285037466 0.00455035605010969 0.00868182785588285
"PLEKHG5" 210.233960137481 1.52865116017452 0.204150512626335 7.48786344206966 7.00038055427981e-14 5.87638328139278e-13
"TNFRSF9" 158.590538372324 4.92677936302287 0.330619600434649 14.9016554267983 3.21513730757814e-50 1.82141650445209e-48
"ERRFI1" 2653.26868016592 1.61321724251764 0.20689064038916 7.79743945633879 6.31759304362088e-15 5.80619387295173e-14
"SPSB1" 421.459925087116 1.69602233042009 0.132790219484914 12.77219314042 2.34453944761823e-37 8.63337575927952e-36
"TMEM201" 103.943806037373 -1.03457004214157 0.168278438261922 -6.14796555534511 7.84830709653741e-10 4.21079400172165e-09
"SRM" 301.107279562839 -1.05042290012298 0.155251628990539 -6.7659380255971 1.32448234842204e-11 8.71964034744832e-11
"FBXO6" 73.625505252223 1.89792026358374 0.173323789593212 10.9501428975107 6.63428726910071e-28 1.60019588344444e-26
"AGMAT" 69.8629195305556 -1.50596786406773 0.27550163108852 -5.4662756736415 4.5958940104283e-08 1.97321574555777e-07
"EPHA2" 2377.01570225921 1.08246828868595 0.111573574578143 9.70183390447727 2.96127381492116e-22 4.74104229470059e-21
"ARHGEF19" 70.5431571095417 -1.39986008583081 0.210272055976948 -6.6573757474663 2.78759888007696e-11 1.77184147458056e-10
"PADI1" 87.0974915618919 1.08393511923848 0.192810729920149 5.621757252241 1.89024752492567e-08 8.53005082020173e-08
"AKR7A2" 307.577624649059 -1.01895685450418 0.127402835712787 -7.99791345933061 1.26545258737673e-15 1.25376275630051e-14
"ZNF436" 401.261682147105 1.34096026332214 0.152643095542877 8.78493887033019 1.56449592805196e-18 1.96621007021502e-17
"IL22RA1" 44.5370103588935 1.44659835376314 0.223172284508718 6.48198030928268 9.05264570352585e-11 5.43798679101958e-10
"CLIC4" 1019.44450664752 1.2035283140446 0.171098574914687 7.03412237445405 2.00519081522397e-12 1.46794850469047e-11
