"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"NOC2L" 1056.68387592848 -1.20154874466829 0.14119212742138 -8.51002649094121 1.73893620418427e-17 1.0180195149774e-16
"PLEKHN1" 70.6659007498216 1.48417921624136 0.407557004505479 3.64164816169024 0.000270898143990316 0.000540866039519432
"HES4" 133.502797196534 1.45696027389871 0.390430818100441 3.73167333712857 0.000190212057875994 0.000385554606120387
"ISG15" 674.8752009888 4.41235681146824 0.214468467718943 20.5734523979093 4.74639459570654e-94 4.12861583454883e-92
"AURKAIP1" 592.399405092732 -1.42178349607936 0.184702072968834 -7.69771271770874 1.385233688746e-14 6.80724046244533e-14
"MRPL20" 544.202420147961 -1.01315980861148 0.145103905384961 -6.98230558249666 2.90374657813098e-12 1.21690775601718e-11
"ATAD3A" 281.382193942798 -1.15456904829511 0.232058336973909 -4.97533966394374 6.51333276860358e-07 1.74304232303207e-06
"LOC100129534" 15.4073835044145 -1.44853984172019 0.636960469287113 -2.27414401923779 0.0229573287832018 0.0348652201083353
"PANK4" 158.803016065673 1.02681123990313 0.214293988051125 4.79160077817094 1.65455876285896e-06 4.24475398358172e-06
"FAM213B" 246.420307347304 -1.63416497802923 0.28261420761824 -5.78231714463801 7.36786371489278e-09 2.35511546465337e-08
"TPRG1L" 404.12373527365 -1.10644929120869 0.136886550137179 -8.08296571211621 6.32104002296385e-16 3.38973442396513e-15
"KCNAB2" 180.008731031841 -2.47938736038158 0.250689877413226 -9.89025718136466 4.58847586929001e-23 3.76030362967706e-22
"ICMT" 1028.41932964323 -1.18329562967465 0.0974202434882453 -12.1463012953506 6.00199887248824e-34 8.54434040520329e-33
"ACOT7" 555.520477721875 -1.21443562726636 0.169364378361281 -7.1705493151327 7.469743170062e-13 3.28365510543871e-12
"PHF13" 205.160890038901 1.27122554673051 0.140262701585844 9.0631759716427 1.26706387442143e-19 8.47291441933025e-19
"THAP3" 133.060673704516 1.95894370737644 0.207783127509566 9.42782857711223 4.18666089597707e-21 3.06291674952706e-20
"PER3" 125.515802713448 3.21814799222554 0.173893457753457 18.5064351114818 1.83232954922055e-76 9.87402172206801e-75
"TNFRSF9" 158.590538372324 3.13285941337493 0.146854766954514 21.3330454185753 5.6038112269014e-101 6.01022355568736e-99
"PARK7" 1607.5331503601 -1.15010590255354 0.109164887507063 -10.5354929484916 5.92719182068995e-26 5.77914281051737e-25
"ERRFI1" 2653.26868016592 1.60856126068536 0.205490657702167 7.8279045805419 4.96068192897586e-15 2.50460024083164e-14
"RERE" 585.386083122031 1.17045419096309 0.13054131139781 8.96615928268306 3.07033845493289e-19 2.00342757895119e-18
"ENO1" 22631.7940664828 -1.25311473616186 0.080038736556324 -15.6563532868867 3.00649223189733e-55 9.22575546826938e-54
"SLC25A33" 62.0959162111779 1.19461791149148 0.245727032371571 4.86156488344784 1.164613943094e-06 3.03288312809038e-06
