Gene_Symbol,Genes,Gene_Symbol,Phenotype_Essentiality,Phenotype_Safety
CRLS1,54675,CRLS1,22,1
SGMS1,259230,SGMS1,20,1
GUK1,2987,GUK1,16,3
ISYNA1,51477,ISYNA1,9,1
SLC27A4,10999,SLC27A4,8,3
PEPD,5184,PEPD,7,2
SLC3A2,6520,SLC3A2,5,1
SLC7A11,23657,SLC7A11,5,1
PTDSS1,9791,PTDSS1,4,3
CMPK1,51727,CMPK1,4,3
CTH,1491,CTH,4,2
SLC5A3,6526,SLC5A3,3,1
SLC7A5,8140,SLC7A5,3,1
SLC7A9,11136,SLC7A9,2,2
SLC3A1,6519,SLC3A1,2,2
GLTP,51228,GLTP,2,1
PLD2,5338,PLD2,2,1
SLC7A6,9057,SLC7A6,2,1
AGXT,189,AGXT,1,1
DTYMK,1841,DTYMK,1,1
DHFR,1719,DHFR,1,1
TYMS,7298,TYMS,1,1
SLC2A13,114134,SLC2A13,1,1
