,Gene1,Gene2,Series,RECON,Experiment_Freq,Safety_Ratio
0,54675,11212,"['CALU3_12H', 'CALU3_12H', 'CALU3_24H', 'CALU3_24H', 'CALU3_4H', 'CALU3_4H', 'CALU3_8H', 'CALU3_8H', 'H1299_12H', 'H1299_12H', 'H1299_24H', 'H1299_24H', 'H1299_36H', 'H1299_36H', 'H1299_4H', 'H1299_4H', 'S16', 'S16', 'S1', 'S1', 'S2', 'S5', 'S5', 'S6', 'S7', 'S7']","['2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '2', '3', '2', '2', '3']",26,10
1,259230,11212,"['CALU3_12H', 'CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_4H', 'CALU3_8H', 'CALU3_8H', 'H1299_12H', 'H1299_12H', 'H1299_24H', 'H1299_24H', 'H1299_36H', 'H1299_36H', 'H1299_4H', 'H1299_4H', 'S16', 'S1', 'S1', 'S2', 'S5', 'S5', 'S6', 'S7', 'S7']","['2', '3', '2', '2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '2', '2', '3', '2', '2', '3', '2', '2', '3']",24,9
2,6241,50484,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S16', 'S1', 'S2', 'S5', 'S6', 'S7']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",14,0
3,6240,50484,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S16', 'S1', 'S2', 'S5', 'S6', 'S7']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",14,0
4,6565,6564,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S16', 'S2', 'S5', 'S6', 'S7']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']",13,0
5,60386,1841,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S16', 'S1', 'S2', 'S6', 'S7']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",13,0
6,51477,11212,"['CALU3_12H', 'CALU3_12H', 'CALU3_24H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S5']","['2', '3', '2', '3', '3', '3', '3', '3', '3', '3', '3']",11,2
7,11212,10999,"['CALU3_12H', 'CALU3_24H', 'CALU3_4H', 'CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S1', 'S6', 'S7']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",11,4
8,6241,2987,"['H1299_12H', 'H1299_12H', 'H1299_24H', 'H1299_24H', 'H1299_36H', 'H1299_36H', 'H1299_4H', 'H1299_4H', 'S2', 'S2']","['2', '3', '2', '3', '2', '3', '2', '3', '2', '3']",10,0
9,114134,51477,"['CALU3_8H', 'H1299_12H', 'H1299_24H', 'H1299_36H', 'H1299_4H', 'S5', 'S6', 'S6', 'S7', 'S7']","['2', '2', '2', '2', '2', '2', '2', '3', '2', '3']",10,3
10,6240,2987,"['H1299_12H', 'H1299_12H', 'H1299_24H', 'H1299_24H', 'H1299_36H', 'H1299_36H', 'H1299_4H', 'H1299_4H', 'S2', 'S2']","['2', '3', '2', '3', '2', '3', '2', '3', '2', '3']",10,0
11,2987,50484,"['H1299_12H', 'H1299_12H', 'H1299_24H', 'H1299_24H', 'H1299_36H', 'H1299_36H', 'H1299_4H', 'H1299_4H', 'S2', 'S2']","['2', '3', '2', '3', '2', '3', '2', '3', '2', '3']",10,0
