,SKO_Safe_Sym,SKO_Toxic_Sym,SKO_Unknown_Sym,SKO_All
A549_0.02,NaN; SLC3A2; SLC7A11,CRLS1; ISYNA1; SGMS1,NaN,CRLS1; ISYNA1; SGMS1; SLC3A2; SLC7A11
A549_0.2_ACE2,AGXT; DHFR; NaN; SLC27A4; TYMS,CRLS1; GUK1; PEPD; SGMS1,NaN,AGXT; CRLS1; DHFR; GUK1; PEPD; SGMS1; SLC27A4; TYMS
NHBE_2,NaN; SLC3A1; SLC7A9,CMPK1; CRLS1; CTH; GUK1; PTDSS1; SGMS1; SLC27A4; SLC5A3,NaN; SLC5A3,CMPK1; CRLS1; CTH; GUK1; PTDSS1; SGMS1; SLC27A4; SLC3A1; SLC5A3; SLC7A9
A549_2,DTYMK; GUK1; PEPD,CRLS1; GUK1; ISYNA1; SGMS1; SLC3A2; SLC7A11,NaN,CRLS1; DTYMK; GUK1; ISYNA1; PEPD; SGMS1; SLC3A2; SLC7A11
A549_2_ACE2,CMPK1; CTH; GUK1; PTDSS1; SLC3A1; SLC7A9,CRLS1; PEPD; SGMS1; SLC2A13,NaN; SLC5A3,CMPK1; CRLS1; CTH; GUK1; PEPD; PTDSS1; SGMS1; SLC2A13; SLC3A1; SLC5A3; SLC7A9
Calu3_2,CMPK1; SLC27A4,CRLS1; GUK1; PEPD; SGMS1,NaN,CMPK1; CRLS1; GUK1; PEPD; SGMS1; SLC27A4
