Series,Gene1,Gene2,Safe_Toxic,RECON_Model
Calu3_12h,11212,10999,Safe_,2
Calu3_12h,11212,51477,Safe_,2
Calu3_12h,1841,4833,Safe_,2
Calu3_12h,22934,10999,Safe_,2
Calu3_12h,22934,51477,Safe_,2
Calu3_12h,3177,10999,Safe_,2
Calu3_12h,3177,51477,Safe_,2
Calu3_12h,4860,10999,Safe_,2
Calu3_12h,4860,51477,Safe_,2
Calu3_12h,51727,5338,Safe_,2
Calu3_12h,6564,10999,Safe_,2
Calu3_12h,6564,51477,Safe_,2
Calu3_12h,6584,10999,Safe_,2
Calu3_12h,6584,51477,Safe_,2
Calu3_12h,10606,3251,Toxic,2
Calu3_12h,11212,259230,Toxic,2
Calu3_12h,11212,54675,Toxic,2
Calu3_12h,1841,60386,Toxic,2
Calu3_12h,22934,259230,Toxic,2
Calu3_12h,22934,54675,Toxic,2
Calu3_12h,23657,875,Toxic,2
Calu3_12h,2618,3251,Toxic,2
Calu3_12h,3177,259230,Toxic,2
Calu3_12h,3177,54675,Toxic,2
Calu3_12h,3251,471,Toxic,2
Calu3_12h,3251,5198,Toxic,2
Calu3_12h,3251,5471,Toxic,2
Calu3_12h,4860,259230,Toxic,2
Calu3_12h,4860,54675,Toxic,2
Calu3_12h,50484,6240,Toxic,2
Calu3_12h,50484,6241,Toxic,2
Calu3_12h,6520,875,Toxic,2
Calu3_12h,6564,259230,Toxic,2
Calu3_12h,6564,54675,Toxic,2
Calu3_12h,6584,259230,Toxic,2
Calu3_12h,6584,54675,Toxic,2
Calu3_12h,11212,259230,Toxic,3
Calu3_12h,11212,51477,Toxic,3
Calu3_12h,11212,54675,Toxic,3
Calu3_12h,22934,51477,Toxic,3
Calu3_12h,2539,51477,Toxic,3
Calu3_12h,25796,51477,Toxic,3
Calu3_12h,2821,259230,Toxic,3
Calu3_12h,2821,51477,Toxic,3
Calu3_12h,2821,54675,Toxic,3
Calu3_12h,3177,259230,Toxic,3
Calu3_12h,3177,51477,Toxic,3
Calu3_12h,3177,54675,Toxic,3
Calu3_12h,51071,259230,Toxic,3
Calu3_12h,51071,51477,Toxic,3
Calu3_12h,51071,54675,Toxic,3
Calu3_12h,5211,259230,Toxic,3
Calu3_12h,5211,51477,Toxic,3
Calu3_12h,5211,54675,Toxic,3
Calu3_12h,5226,51477,Toxic,3
Calu3_12h,55276,259230,Toxic,3
Calu3_12h,55276,51477,Toxic,3
Calu3_12h,55276,54675,Toxic,3
Calu3_12h,6564,6565,Toxic,3
Calu3_12h,6566,259230,Toxic,3
Calu3_12h,6566,51477,Toxic,3
Calu3_12h,6566,54675,Toxic,3
Calu3_12h,6888,259230,Toxic,3
Calu3_12h,6888,51477,Toxic,3
Calu3_12h,6888,54675,Toxic,3
Calu3_24h,23657,875,Safe_,2
Calu3_24h,51727,60482,Safe_,2
Calu3_24h,51727,9791,Safe_,2
Calu3_24h,60482,81490,Safe_,2
Calu3_24h,60482,875,Safe_,2
Calu3_24h,6520,875,Safe_,2
Calu3_24h,10606,3251,Toxic,2
Calu3_24h,11212,10999,Toxic,2
Calu3_24h,11212,259230,Toxic,2
Calu3_24h,11212,51477,Toxic,2
Calu3_24h,11212,54675,Toxic,2
Calu3_24h,1841,4833,Toxic,2
Calu3_24h,1841,60386,Toxic,2
Calu3_24h,22934,10999,Toxic,2
Calu3_24h,22934,259230,Toxic,2
Calu3_24h,22934,51477,Toxic,2
Calu3_24h,22934,54675,Toxic,2
Calu3_24h,2618,3251,Toxic,2
Calu3_24h,3177,10999,Toxic,2
Calu3_24h,3177,259230,Toxic,2
Calu3_24h,3177,51477,Toxic,2
Calu3_24h,3177,54675,Toxic,2
Calu3_24h,3251,471,Toxic,2
Calu3_24h,3251,5198,Toxic,2
Calu3_24h,3251,5471,Toxic,2
Calu3_24h,4860,10999,Toxic,2
Calu3_24h,4860,259230,Toxic,2
Calu3_24h,4860,51477,Toxic,2
Calu3_24h,4860,54675,Toxic,2
Calu3_24h,50484,6240,Toxic,2
Calu3_24h,50484,6241,Toxic,2
Calu3_24h,51727,5338,Toxic,2
Calu3_24h,6584,10999,Toxic,2
Calu3_24h,6584,259230,Toxic,2
Calu3_24h,6584,51477,Toxic,2
Calu3_24h,6584,54675,Toxic,2
Calu3_24h,11212,9791,Safe_,3
Calu3_24h,5053,8140,Safe_,3
Calu3_24h,51071,9791,Safe_,3
Calu3_24h,55276,9791,Safe_,3
Calu3_24h,6566,9791,Safe_,3
Calu3_24h,7389,9791,Safe_,3
Calu3_24h,10087,259230,Toxic,3
Calu3_24h,11212,51228,Toxic,3
Calu3_24h,11212,51477,Toxic,3
Calu3_24h,11212,54675,Toxic,3
Calu3_24h,166929,259230,Toxic,3
Calu3_24h,51071,51228,Toxic,3
Calu3_24h,51071,51477,Toxic,3
Calu3_24h,51071,54675,Toxic,3
Calu3_24h,55276,51228,Toxic,3
Calu3_24h,55276,51477,Toxic,3
Calu3_24h,55276,54675,Toxic,3
Calu3_24h,6564,6565,Toxic,3
Calu3_24h,6566,51228,Toxic,3
Calu3_24h,6566,51477,Toxic,3
