,Gene1,Gene2,Series,RECON,Experiment_Freq,Safety_Ratio,Gene1_Symbol,Gene2_Symbol
348,259230,4708,['S1'],['2'],1,0,SGMS1,NDUFB2
349,259230,4707,['S1'],['2'],1,0,SGMS1,NDUFB1
350,259230,4706,['S1'],['2'],1,0,SGMS1,NDUFAB1
351,259230,4705,['S1'],['2'],1,0,SGMS1,NDUFA10
352,259230,126328,['S1'],['2'],1,0,SGMS1,NDUFA11
353,259230,1629,['H1299_4H'],['3'],1,0,SGMS1,DBT
354,10999,4724,['S1'],['2'],1,0,SLC27A4,NDUFS4
355,259230,1633,['H1299_4H'],['3'],1,0,SGMS1,DCK
356,10999,4723,['S1'],['2'],1,0,SLC27A4,NDUFV1
357,10999,4722,['S1'],['2'],1,0,SLC27A4,NDUFS3
358,10999,4702,['S1'],['2'],1,0,SLC27A4,NDUFA8
359,10999,4720,['S1'],['2'],1,0,SLC27A4,NDUFS2
360,10999,4718,['S1'],['2'],1,0,SLC27A4,NDUFC2
361,10999,4717,['S1'],['2'],1,0,SLC27A4,NDUFC1
362,10999,4716,['S1'],['2'],1,0,SLC27A4,NDUFB10
363,10999,4715,['S1'],['2'],1,0,SLC27A4,NDUFB9
364,10999,4714,['S1'],['2'],1,0,SLC27A4,NDUFB8
365,10999,4713,['S1'],['2'],1,0,SLC27A4,NDUFB7
366,10999,4711,['S1'],['2'],1,0,SLC27A4,NDUFB5
367,10999,4710,['S1'],['2'],1,0,SLC27A4,NDUFB4
368,10999,4709,['S1'],['2'],1,0,SLC27A4,NDUFB3
369,10999,4708,['S1'],['2'],1,0,SLC27A4,NDUFB2
370,10999,4707,['S1'],['2'],1,0,SLC27A4,NDUFB1
371,10999,4706,['S1'],['2'],1,0,SLC27A4,NDUFAB1
372,10999,4705,['S1'],['2'],1,0,SLC27A4,NDUFA10
373,10999,4719,['S1'],['2'],1,0,SLC27A4,NDUFS1
374,1717,3156,['H1299_4H'],['3'],1,1,DHCR7,HMGCR
375,1717,4047,['H1299_4H'],['3'],1,1,DHCR7,LSS
376,1717,4597,['H1299_4H'],['3'],1,1,DHCR7,MVD
377,259230,2639,['S1'],['2'],1,0,SGMS1,GCDH
378,259230,1717,['H1299_4H'],['3'],1,0,SGMS1,DHCR7
379,6526,4700,['S1'],['2'],1,0,SLC5A3,NDUFA6
380,51727,6515,['S16'],['2'],1,1,CMPK1,SLC2A3
381,6526,4697,['S1'],['2'],1,0,SLC5A3,NDUFA4
382,54675,5211,['CALU3_12H'],['3'],1,0,CRLS1,PFKL
383,9791,6390,['S1'],['3'],1,0,PTDSS1,SDHB
384,51727,2180,['S16'],['2'],1,1,CMPK1,ACSL1
385,9791,6391,['S1'],['3'],1,0,PTDSS1,SDHC
386,9791,6392,['S1'],['3'],1,0,PTDSS1,SDHD
387,9791,6240,['S16'],['3'],1,1,PTDSS1,RRM1
388,54675,10998,['S16'],['2'],1,0,CRLS1,SLC27A5
389,6526,4726,['S1'],['2'],1,0,SLC5A3,NDUFS6
390,54675,4594,['CALU3_8H'],['3'],1,0,CRLS1,MMUT
391,54675,4695,['S1'],['2'],1,0,CRLS1,NDUFA2
392,54675,5162,['S1'],['2'],1,0,CRLS1,PDHB
393,8733,9791,['CALU3_4H'],['2'],1,1,GPAA1,PTDSS1
394,54675,4540,['S1'],['2'],1,0,CRLS1,MT-ND5
395,9791,788,['S16'],['2'],1,1,PTDSS1,SLC25A20
396,54675,4538,['S1'],['2'],1,0,CRLS1,MT-ND4
397,54675,5226,['CALU3_4H'],['3'],1,0,CRLS1,PGD
398,54675,4697,['S1'],['2'],1,0,CRLS1,NDUFA4
399,54675,4536,['S1'],['2'],1,0,CRLS1,MT-ND2
400,81490,60482,['CALU3_24H'],['2'],1,1,PTDSS2,SLC5A7
401,54675,55967,['S1'],['2'],1,0,CRLS1,NDUFA12
402,54675,3418,['S7'],['3'],1,0,CRLS1,IDH2
403,8801,6526,['S1'],['3'],1,1,SUCLG2,SLC5A3
404,54675,2936,['H1299_4H'],['2'],1,0,CRLS1,GSR
405,8801,9791,['S1'],['3'],1,0,SUCLG2,PTDSS1
406,54675,4724,['S1'],['2'],1,0,CRLS1,NDUFS4
407,9791,6389,['S1'],['3'],1,0,PTDSS1,SDHA
408,51727,2271,['S1'],['3'],1,1,CMPK1,FH
409,51727,249,['S16'],['2'],1,1,CMPK1,ALPL
410,9791,6241,['S16'],['3'],1,1,PTDSS1,RRM2
411,9791,8034,['S16'],['2'],1,1,PTDSS1,SLC25A16
412,9791,6515,['S16'],['2'],1,1,PTDSS1,SLC2A3
413,51727,114134,['S16'],['3'],1,0,CMPK1,SLC2A13
414,51727,10998,['S16'],['2'],1,1,CMPK1,SLC27A5
415,5162,6526,['S1'],['2'],1,0,PDHB,SLC5A3
416,9791,9415,['S16'],['2'],1,1,PTDSS1,FADS2
417,9791,9487,['CALU3_4H'],['2'],1,1,PTDSS1,PIGL
418,9791,9488,['CALU3_4H'],['2'],1,1,PTDSS1,PIGB
419,51727,6389,['S1'],['3'],1,1,CMPK1,SDHA
420,51727,189,['S16'],['2'],1,1,CMPK1,AGXT
421,9791,64078,['S16'],['3'],1,1,PTDSS1,SLC28A3
422,9791,51604,['CALU3_4H'],['2'],1,1,PTDSS1,PIGT
423,51727,5162,['S1'],['2'],1,0,CMPK1,PDHB
424,51727,51477,['S5'],['3'],1,0,CMPK1,ISYNA1
425,9791,5283,['CALU3_4H'],['2'],1,1,PTDSS1,PIGH
426,51727,4860,['S16'],['2'],1,1,CMPK1,PNP
427,9791,5338,['S16'],['3'],1,1,PTDSS1,PLD2
428,9791,54965,['CALU3_4H'],['2'],1,1,PTDSS1,PIGX
429,51727,37,['S16'],['2'],1,1,CMPK1,ACADVL
430,9791,55650,['CALU3_4H'],['2'],1,1,PTDSS1,PIGV
431,9791,6476,['S16'],['2'],1,1,PTDSS1,SI
432,51727,3030,['S16'],['2'],1,1,CMPK1,HADHA
433,51727,2639,['S1'],['2'],1,0,CMPK1,GCDH
434,54675,4535,['S1'],['2'],1,0,CRLS1,MT-ND1
435,54675,51079,['S1'],['2'],1,0,CRLS1,NDUFA13
436,875,60482,['CALU3_24H'],['2'],1,1,CBS,SLC5A7
437,8050,6526,['S1'],['2'],1,0,PDHX,SLC5A3
438,54675,1629,['H1299_4H'],['3'],1,0,CRLS1,DBT
439,8942,189,['S16'],['2'],1,1,KYNU,AGXT
440,8802,51228,['CALU3_8H'],['3'],1,0,SUCLG1,GLTP
441,9057,6542,['S16'],['2'],1,1,SLC7A6,SLC7A2
442,54675,64078,['S16'],['3'],1,1,CRLS1,SLC28A3
443,93183,9791,['CALU3_4H'],['2'],1,1,PIGM,PTDSS1
444,54675,126328,['S1'],['2'],1,0,CRLS1,NDUFA11
445,8050,51727,['S1'],['2'],1,0,PDHX,CMPK1
446,54675,6515,['S16'],['2'],1,0,CRLS1,SLC2A3
447,54675,114134,['S6'],['3'],1,1,CRLS1,SLC2A13
448,94005,9791,['CALU3_4H'],['2'],1,1,PIGS,PTDSS1
449,8050,51477,['H1299_4H'],['3'],1,0,PDHX,ISYNA1
450,54675,1384,['H1299_4H'],['3'],1,0,CRLS1,CRAT
451,8836,1491,['H1299_24H'],['2'],1,0,GGH,CTH
452,54675,4726,['S1'],['2'],1,0,CRLS1,NDUFS6
453,54675,6241,['S16'],['3'],1,0,CRLS1,RRM2
454,54675,1890,['S16'],['3'],1,0,CRLS1,TYMP
455,8802,9791,['S1'],['3'],1,0,SUCLG1,PTDSS1
456,54675,594,['H1299_4H'],['3'],1,0,CRLS1,BCKDHB
457,54675,6240,['S16'],['3'],1,0,CRLS1,RRM1
458,54675,2180,['S16'],['2'],1,0,CRLS1,ACSL1
459,8802,6526,['S1'],['3'],1,1,SUCLG1,SLC5A3
460,54675,189,['S16'],['2'],1,0,CRLS1,AGXT
461,54675,1633,['H1299_4H'],['3'],1,0,CRLS1,DCK
462,54675,1717,['H1299_4H'],['3'],1,0,CRLS1,DHCR7
463,54675,4698,['S1'],['2'],1,0,CRLS1,NDUFA5
464,54675,1737,['S1'],['2'],1,0,CRLS1,DLAT
465,54675,4720,['S1'],['2'],1,0,CRLS1,NDUFS2
466,54675,4719,['S1'],['2'],1,0,CRLS1,NDUFS1
467,54675,4718,['S1'],['2'],1,0,CRLS1,NDUFC2
468,54675,4729,['S1'],['2'],1,0,CRLS1,NDUFV2
469,54675,4715,['S1'],['2'],1,0,CRLS1,NDUFB9
470,54675,4714,['S1'],['2'],1,0,CRLS1,NDUFB8
471,8801,51228,['CALU3_8H'],['3'],1,0,SUCLG2,GLTP
472,54675,4713,['S1'],['2'],1,0,CRLS1,NDUFB7
473,54675,4711,['S1'],['2'],1,0,CRLS1,NDUFB5
474,54675,4710,['S1'],['2'],1,0,CRLS1,NDUFB4
475,54675,4709,['S1'],['2'],1,0,CRLS1,NDUFB3
476,54675,4708,['S1'],['2'],1,0,CRLS1,NDUFB2
477,54675,50484,['S16'],['3'],1,0,CRLS1,RRM2B
478,54675,4706,['S1'],['2'],1,0,CRLS1,NDUFAB1
479,54675,4704,['S1'],['2'],1,0,CRLS1,NDUFA9
480,54675,4702,['S1'],['2'],1,0,CRLS1,NDUFA8
481,54675,4700,['S1'],['2'],1,0,CRLS1,NDUFA6
482,54675,25796,['CALU3_4H'],['3'],1,0,CRLS1,PGLS
483,54675,2539,['CALU3_4H'],['3'],1,0,CRLS1,G6PD
484,54675,2639,['S1'],['2'],1,0,CRLS1,GCDH
485,54675,593,['H1299_4H'],['3'],1,0,CRLS1,BCKDHA
486,54675,1743,['H1299_4H'],['3'],1,0,CRLS1,DLST
487,8140,5053,['CALU3_24H'],['3'],1,1,SLC7A5,PAH
488,9791,79087,['CALU3_4H'],['2'],1,1,PTDSS1,ALG12
489,9791,6584,['S16'],['2'],1,1,PTDSS1,SLC22A5
490,6526,4696,['S1'],['2'],1,0,SLC5A3,NDUFA3
491,6566,114134,['S16'],['3'],1,0,SLC16A1,SLC2A13
492,6526,4713,['S1'],['2'],1,0,SLC5A3,NDUFB7
493,6526,6389,['S1'],['3'],1,1,SLC5A3,SDHA
494,6526,6390,['S1'],['3'],1,1,SLC5A3,SDHB
495,6526,4717,['S1'],['2'],1,0,SLC5A3,NDUFC1
496,54675,6646,['H1299_4H'],['3'],1,0,CRLS1,SOAT1
497,6526,374291,['S1'],['2'],1,0,SLC5A3,NDUFS7
498,6526,6392,['S1'],['3'],1,1,SLC5A3,SDHD
499,6515,259230,['S16'],['2'],1,0,SLC2A3,SGMS1
500,6509,2806,['S16'],['2'],1,1,SLC1A4,GOT2
501,6564,51477,['CALU3_12H'],['2'],1,1,SLC15A1,ISYNA1
502,6566,10999,['S1'],['2'],1,0,SLC16A1,SLC27A4
503,6566,51228,['CALU3_24H'],['3'],1,0,SLC16A1,GLTP
504,51727,1737,['S1'],['2'],1,0,CMPK1,DLAT
505,6576,1841,['S5'],['2'],1,1,SLC25A1,DTYMK
506,6476,10999,['H1299_4H'],['2'],1,0,SI,SLC27A4
507,6526,788,['S16'],['2'],1,1,SLC5A3,SLC25A20
508,6526,3030,['S16'],['2'],1,1,SLC5A3,HADHA
509,6526,2639,['S1'],['2'],1,0,SLC5A3,GCDH
510,6526,249,['S16'],['2'],1,1,SLC5A3,ALPL
511,6526,22934,['S16'],['2'],1,1,SLC5A3,RPIA
512,6526,2271,['S1'],['3'],1,1,SLC5A3,FH
513,6526,2180,['S16'],['2'],1,1,SLC5A3,ACSL1
514,6526,189,['S16'],['2'],1,1,SLC5A3,AGXT
515,6526,6476,['S16'],['2'],1,1,SLC5A3,SI
516,6526,55967,['S1'],['2'],1,0,SLC5A3,NDUFA12
517,6526,4714,['S1'],['2'],1,0,SLC5A3,NDUFB8
518,6526,4715,['S1'],['2'],1,0,SLC5A3,NDUFB9
519,6526,4716,['S1'],['2'],1,0,SLC5A3,NDUFB10
520,6526,4695,['S1'],['2'],1,0,SLC5A3,NDUFA2
521,6526,4694,['S1'],['2'],1,0,SLC5A3,NDUFA1
522,6526,4541,['S1'],['2'],1,0,SLC5A3,MT-ND6
523,6526,4540,['S1'],['2'],1,0,SLC5A3,MT-ND5
524,6526,4539,['S1'],['2'],1,0,SLC5A3,MT-ND4L
525,6526,4538,['S1'],['2'],1,0,SLC5A3,MT-ND4
526,6526,4537,['S1'],['2'],1,0,SLC5A3,MT-ND3
527,6526,4536,['S1'],['2'],1,0,SLC5A3,MT-ND2
528,6526,4709,['S1'],['2'],1,0,SLC5A3,NDUFB3
529,6526,4710,['S1'],['2'],1,0,SLC5A3,NDUFB4
530,6526,6391,['S1'],['3'],1,1,SLC5A3,SDHC
531,6526,4711,['S1'],['2'],1,0,SLC5A3,NDUFB5
532,6526,4725,['S1'],['2'],1,0,SLC5A3,NDUFS5
533,6526,4729,['S1'],['2'],1,0,SLC5A3,NDUFV2
534,6526,4860,['S16'],['2'],1,1,SLC5A3,PNP
535,6526,4724,['S1'],['2'],1,0,SLC5A3,NDUFS4
536,6526,4723,['S1'],['2'],1,0,SLC5A3,NDUFV1
537,6526,4722,['S1'],['2'],1,0,SLC5A3,NDUFS3
538,6526,4720,['S1'],['2'],1,0,SLC5A3,NDUFS2
539,6526,51079,['S1'],['2'],1,0,SLC5A3,NDUFA13
540,6526,4719,['S1'],['2'],1,0,SLC5A3,NDUFS1
541,6526,4535,['S1'],['2'],1,0,SLC5A3,MT-ND1
542,6526,4718,['S1'],['2'],1,0,SLC5A3,NDUFC2
543,6526,1737,['S1'],['2'],1,0,SLC5A3,DLAT
544,6526,37,['S16'],['2'],1,1,SLC5A3,ACADVL
545,6526,1376,['S16'],['2'],1,1,SLC5A3,CPT2
546,9791,50484,['S16'],['3'],1,1,PTDSS1,RRM2B
547,9791,3030,['S16'],['2'],1,1,PTDSS1,HADHA
548,51727,6391,['S1'],['3'],1,1,CMPK1,SDHC
549,5211,51477,['CALU3_12H'],['3'],1,0,PFKL,ISYNA1
550,9791,1622,['S16'],['2'],1,1,PTDSS1,DBI
551,5338,79901,['H1299_4H'],['2'],1,0,PLD2,CYBRD1
552,5338,6476,['H1299_4H'],['2'],1,0,PLD2,SI
553,9415,259230,['S16'],['2'],1,0,FADS2,SGMS1
554,9415,51727,['S16'],['2'],1,1,FADS2,CMPK1
555,5338,2936,['H1299_4H'],['2'],1,0,PLD2,GSR
556,5338,259230,['S6'],['3'],1,0,PLD2,SGMS1
557,9415,54675,['S16'],['2'],1,0,FADS2,CRLS1
558,9791,10026,['CALU3_4H'],['2'],1,1,PTDSS1,PIGK
559,9791,10998,['S16'],['2'],1,1,PTDSS1,SLC27A5
560,9791,128869,['CALU3_4H'],['2'],1,1,PTDSS1,PIGU
561,5226,51228,['CALU3_4H'],['3'],1,1,PGD,GLTP
562,9791,1376,['S16'],['2'],1,1,PTDSS1,CPT2
563,5226,259230,['CALU3_4H'],['3'],1,0,PGD,SGMS1
564,9791,1468,['S1'],['3'],1,0,PTDSS1,SLC25A10
565,54675,10327,['H1299_4H'],['3'],1,0,CRLS1,AKR1A1
566,51727,6390,['S1'],['3'],1,1,CMPK1,SDHB
567,51727,60482,['CALU3_24H'],['2'],1,1,CMPK1,SLC5A7
568,9791,6576,['S16'],['2'],1,1,PTDSS1,SLC25A1
569,51727,1738,['S1'],['2'],1,0,CMPK1,DLD
570,51727,6392,['S1'],['3'],1,1,CMPK1,SDHD
571,51727,6476,['S16'],['2'],1,1,CMPK1,SI
572,6526,126328,['S1'],['2'],1,0,SLC5A3,NDUFA11
573,51727,6526,['S1'],['3'],1,1,CMPK1,SLC5A3
574,6526,10998,['S16'],['2'],1,1,SLC5A3,SLC27A5
575,6526,6566,['S1'],['2'],1,0,SLC5A3,SLC16A1
576,5162,10999,['S1'],['2'],1,0,PDHB,SLC27A4
577,6526,6576,['S16'],['2'],1,1,SLC5A3,SLC25A1
578,6519,6578,['H1299_12H'],['3'],1,0,SLC3A1,SLCO2A1
579,6515,6526,['S16'],['2'],1,1,SLC2A3,SLC5A3
580,6526,1468,['S1'],['3'],1,1,SLC5A3,SLC25A10
581,8050,10999,['S1'],['2'],1,0,PDHX,SLC27A4
582,79901,54675,['H1299_4H'],['2'],1,0,CYBRD1,CRLS1
583,9415,6526,['S16'],['2'],1,1,FADS2,SLC5A3
584,9791,1738,['S1'],['3'],1,0,PTDSS1,DLD
585,9791,1806,['S16'],['3'],1,1,PTDSS1,DPYD
586,9791,189,['S16'],['2'],1,1,PTDSS1,AGXT
587,9791,1890,['S16'],['3'],1,1,PTDSS1,TYMP
588,9791,2180,['S16'],['2'],1,1,PTDSS1,ACSL1
589,9791,2271,['S1'],['3'],1,0,PTDSS1,FH
590,9791,249,['S16'],['2'],1,1,PTDSS1,ALPL
591,5211,259230,['CALU3_12H'],['3'],1,0,PFKL,SGMS1
592,9791,284098,['CALU3_4H'],['2'],1,1,PTDSS1,PIGW
593,51727,7389,['S1'],['2'],1,0,CMPK1,UROD
594,9791,37,['S16'],['2'],1,1,PTDSS1,ACADVL
595,9791,4860,['S16'],['2'],1,1,PTDSS1,PNP
596,51727,6566,['S1'],['2'],1,0,CMPK1,SLC16A1
597,2805,2806,['S2'],['2'],1,0,GOT1,GOT2
