,Drugs,Gene_Symbol,Phenotype_Essentiality,Phenotype_Safety,Pathways
0,Valaciclovir,GUK1,16.0,3.0,Nucleotide interconversion
1,Valaciclovir,GUK1,16.0,3.0,Nucleotide interconversion
2,Acyclovir,GUK1,16.0,3.0,Nucleotide interconversion
3,Acyclovir,GUK1,16.0,3.0,Nucleotide interconversion
4,2-Deoxy-Glucitol-6-Phosphate,ISYNA1,9.0,1.0,Inositol phosphate metabolism
5,2-Deoxy-Glucitol-6-Phosphate,ISYNA1,9.0,1.0,Inositol phosphate metabolism
6,Acetylcysteine,SLC7A11,5.0,1.0,"Transport, extracellular"
7,Cystine,SLC7A11,5.0,1.0,"Transport, extracellular"
8,Riluzole,SLC7A11,5.0,1.0,"Transport, extracellular"
9,Rosuvastatin,SLC7A11,5.0,1.0,"Transport, extracellular"
10,Thimerosal,SLC7A11,5.0,1.0,"Transport, extracellular"
11,Tauroursodeoxycholic acid,SLC7A11,5.0,1.0,"Transport, extracellular"
12,Taurocholic acid,SLC7A11,5.0,1.0,"Transport, extracellular"
13,Taurochenodeoxycholic acid,SLC7A11,5.0,1.0,"Transport, extracellular"
14,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
15,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
16,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
17,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
18,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
19,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
20,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
21,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
22,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
23,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
24,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
25,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
26,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
27,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
28,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
29,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
30,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
31,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
32,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
33,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
34,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
35,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
36,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
37,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
38,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
39,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
40,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
41,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
42,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
43,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
44,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
45,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
46,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
47,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
48,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
49,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
50,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
51,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
52,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
53,Sofosbuvir,CMPK1,4.0,3.0,Nucleotide interconversion
54,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
55,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
56,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
57,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
58,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
59,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
60,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
61,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
62,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
63,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
64,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
65,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
66,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
67,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
68,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
69,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
70,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
71,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
72,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
73,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
74,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
75,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
76,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
77,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
78,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
79,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
80,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
81,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
82,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
83,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
84,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
85,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
86,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
87,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
88,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
89,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
90,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
91,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
92,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
93,Lamivudine,CMPK1,4.0,3.0,Nucleotide interconversion
94,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
95,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
96,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
97,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
98,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
99,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
100,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
101,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
102,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
103,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
104,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
105,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
106,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
107,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
108,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
109,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
110,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
111,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
112,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
113,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
114,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
115,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
116,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
117,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
118,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
119,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
120,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
121,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
122,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
123,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
124,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
125,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
126,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
127,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
128,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
129,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
130,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
131,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
132,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
133,DB03664,CMPK1,4.0,3.0,Nucleotide interconversion
134,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
135,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
136,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
137,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
138,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
139,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
140,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
141,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
142,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
143,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
144,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
145,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
146,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
147,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
148,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
149,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
150,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
151,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
152,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
153,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
154,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
155,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
156,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
157,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
158,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
159,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
160,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
161,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
162,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
163,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
164,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
165,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
166,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
167,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
168,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
169,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
170,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
171,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
172,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
173,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
174,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
175,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
176,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
177,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
178,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
179,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
180,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
181,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
182,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
183,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
184,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
185,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
186,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
187,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
188,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
189,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
190,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
191,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
192,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
193,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
194,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
195,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
196,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
197,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
198,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
199,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
200,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
201,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
202,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
203,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
204,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
205,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
206,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
207,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
208,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
209,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
210,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
