,Drugs,Gene_Symbol,Phenotype_Essentiality,Phenotype_Safety,Pathways
211,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
212,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
213,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
214,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
215,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
216,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
217,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
218,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
219,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
220,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
221,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
222,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
223,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
224,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
225,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
226,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
227,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
228,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
229,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
230,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
231,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
232,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
233,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
234,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
235,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
236,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
237,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
238,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
239,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
240,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
241,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
242,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
243,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
244,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
245,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
246,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
247,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
248,Gabapentin,SLC7A5,3.0,1.0,"Transport, extracellular"
249,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
250,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
251,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
252,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
253,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
254,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
255,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
256,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
257,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
258,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
259,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
260,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
261,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
262,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
263,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
264,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
265,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
266,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
267,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
268,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
269,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
270,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
271,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
272,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
273,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
274,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
275,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
276,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
277,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
278,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
279,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
280,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
281,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
282,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
283,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
284,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
285,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
286,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
287,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
288,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
289,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
290,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
291,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
292,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
293,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
294,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
295,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
296,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
297,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
298,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
299,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
300,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
301,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
302,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
303,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
304,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
305,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
306,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
307,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
308,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
309,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
310,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
311,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
312,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
313,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
314,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
315,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
316,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
317,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
318,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
319,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
320,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
321,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
322,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
323,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
324,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
325,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
326,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
327,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
328,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
329,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
330,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
331,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
332,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
333,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
334,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
335,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
336,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
337,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
338,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
339,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
340,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
341,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
342,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
343,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
344,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
345,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
346,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
347,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
348,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
349,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
350,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
351,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
352,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
353,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
354,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
355,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
356,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
357,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
358,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
359,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
360,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
361,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
362,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
363,D-Phenylalanine,SLC7A5,3.0,1.0,"Transport, extracellular"
364,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
365,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
366,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
367,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
368,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
369,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
370,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
371,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
372,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
373,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
374,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
375,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
376,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
377,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
378,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
379,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
380,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
381,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
382,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
383,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
384,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
385,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
386,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
387,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
388,D-Leucine,SLC7A5,3.0,1.0,"Transport, extracellular"
