Gene_Symbol,Gene_Symbol,Genes,Phenotype_Essentiality,Phenotype_Safety
SLC27A4,SLC27A4,10999,5,1
CTH,CTH,1491,2,1
SLC7A11,SLC7A11,23657,3,0
SGMS1,SGMS1,259230,9,0
GUK1,GUK1,2987,6,0
GLTP,GLTP,51228,2,1
ISYNA1,ISYNA1,51477,7,1
PEPD,PEPD,5184,3,1
PLD2,PLD2,5338,2,0
CRLS1,CRLS1,54675,10,0
SLC3A2,SLC3A2,6520,3,0
SLC7A5,SLC7A5,8140,3,1
SLC7A6,SLC7A6,9057,2,1
PTDSS1,PTDSS1,9791,1,1
