Series,Gene1,Gene2,Safe_Toxic,RECON_Model
S16_2.mat,6576,259230,Toxic,2.mat
S16_2.mat,6576,54675,Toxic,2.mat
S16_2.mat,6584,259230,Toxic,2.mat
S16_2.mat,6584,54675,Toxic,2.mat
S16_2.mat,788,259230,Toxic,2.mat
S16_2.mat,788,54675,Toxic,2.mat
S16_2.mat,8034,259230,Toxic,2.mat
S16_2.mat,8034,54675,Toxic,2.mat
S16_2.mat,8140,9057,Toxic,2.mat
S16_2.mat,9415,259230,Toxic,2.mat
S16_2.mat,9415,54675,Toxic,2.mat
S16_3D.mat,11212,114134,Safe_,3D.mat
S16_3D.mat,11212,54675,Safe_,3D.mat
S16_3D.mat,11212,9791,Safe_,3D.mat
S16_3D.mat,1806,9791,Safe_,3D.mat
S16_3D.mat,1890,9791,Safe_,3D.mat
S16_3D.mat,22934,9791,Safe_,3D.mat
S16_3D.mat,2766,51292,Safe_,3D.mat
S16_3D.mat,293,51727,Safe_,3D.mat
S16_3D.mat,3177,9791,Safe_,3D.mat
S16_3D.mat,50484,9791,Safe_,3D.mat
S16_3D.mat,51071,9791,Safe_,3D.mat
S16_3D.mat,51727,6576,Safe_,3D.mat
S16_3D.mat,51727,8801,Safe_,3D.mat
S16_3D.mat,51727,8802,Safe_,3D.mat
S16_3D.mat,51727,9791,Safe_,3D.mat
S16_3D.mat,5338,9791,Safe_,3D.mat
S16_3D.mat,55276,9791,Safe_,3D.mat
S16_3D.mat,6240,9791,Safe_,3D.mat
S16_3D.mat,6241,9791,Safe_,3D.mat
S16_3D.mat,64078,114134,Safe_,3D.mat
S16_3D.mat,64078,54675,Safe_,3D.mat
S16_3D.mat,64078,9791,Safe_,3D.mat
S16_3D.mat,6566,9791,Safe_,3D.mat
S16_3D.mat,10087,259230,Toxic,3D.mat
S16_3D.mat,166929,259230,Toxic,3D.mat
S16_3D.mat,1806,114134,Toxic,3D.mat
S16_3D.mat,1806,54675,Toxic,3D.mat
S16_3D.mat,1890,114134,Toxic,3D.mat
S16_3D.mat,1890,54675,Toxic,3D.mat
S16_3D.mat,22934,54675,Toxic,3D.mat
S16_3D.mat,3177,114134,Toxic,3D.mat
S16_3D.mat,3177,54675,Toxic,3D.mat
S16_3D.mat,50484,114134,Toxic,3D.mat
S16_3D.mat,50484,54675,Toxic,3D.mat
S16_3D.mat,51071,114134,Toxic,3D.mat
S16_3D.mat,51071,54675,Toxic,3D.mat
S16_3D.mat,51727,114134,Toxic,3D.mat
S16_3D.mat,51727,54675,Toxic,3D.mat
S16_3D.mat,5338,54675,Toxic,3D.mat
S16_3D.mat,55276,114134,Toxic,3D.mat
S16_3D.mat,55276,54675,Toxic,3D.mat
S16_3D.mat,6240,114134,Toxic,3D.mat
S16_3D.mat,6240,54675,Toxic,3D.mat
S16_3D.mat,6241,114134,Toxic,3D.mat
S16_3D.mat,6241,54675,Toxic,3D.mat
S16_3D.mat,6564,6565,Toxic,3D.mat
S16_3D.mat,6566,114134,Toxic,3D.mat
S16_3D.mat,6566,54675,Toxic,3D.mat
S1_2.mat,11212,10999,Safe_,2.mat
S1_2.mat,11212,259230,Safe_,2.mat
S1_2.mat,11212,51727,Safe_,2.mat
S1_2.mat,11212,54675,Safe_,2.mat
S1_2.mat,11212,6526,Safe_,2.mat
S1_2.mat,1719,1890,Safe_,2.mat
S1_2.mat,1890,7298,Safe_,2.mat
S1_2.mat,126328,10999,Toxic,2.mat
S1_2.mat,126328,259230,Toxic,2.mat
S1_2.mat,126328,54675,Toxic,2.mat
S1_2.mat,126328,6526,Toxic,2.mat
S1_2.mat,1376,51727,Toxic,2.mat
S1_2.mat,1622,10999,Toxic,2.mat
S1_2.mat,1622,259230,Toxic,2.mat
S1_2.mat,1622,51727,Toxic,2.mat
S1_2.mat,1622,54675,Toxic,2.mat
S1_2.mat,1622,6526,Toxic,2.mat
S1_2.mat,1719,3177,Toxic,2.mat
S1_2.mat,1737,10999,Toxic,2.mat
S1_2.mat,1737,259230,Toxic,2.mat
S1_2.mat,1737,51727,Toxic,2.mat
S1_2.mat,1737,54675,Toxic,2.mat
S1_2.mat,1737,6526,Toxic,2.mat
S1_2.mat,1738,10999,Toxic,2.mat
S1_2.mat,1738,259230,Toxic,2.mat
S1_2.mat,1738,51727,Toxic,2.mat
S1_2.mat,1738,54675,Toxic,2.mat
S1_2.mat,1738,6526,Toxic,2.mat
S1_2.mat,1841,4833,Toxic,2.mat
S1_2.mat,1841,60386,Toxic,2.mat
S1_2.mat,2639,10999,Toxic,2.mat
S1_2.mat,2639,259230,Toxic,2.mat
S1_2.mat,2639,51727,Toxic,2.mat
S1_2.mat,2639,54675,Toxic,2.mat
S1_2.mat,2639,6526,Toxic,2.mat
S1_2.mat,293,51727,Toxic,2.mat
S1_2.mat,3177,10999,Toxic,2.mat
S1_2.mat,3177,259230,Toxic,2.mat
S1_2.mat,3177,51727,Toxic,2.mat
S1_2.mat,3177,54675,Toxic,2.mat
S1_2.mat,3177,6526,Toxic,2.mat
S1_2.mat,3177,7298,Toxic,2.mat
S1_2.mat,374291,10999,Toxic,2.mat
S1_2.mat,374291,259230,Toxic,2.mat
S1_2.mat,374291,6526,Toxic,2.mat
S1_2.mat,4535,10999,Toxic,2.mat
S1_2.mat,4535,259230,Toxic,2.mat
S1_2.mat,4535,54675,Toxic,2.mat
S1_2.mat,4535,6526,Toxic,2.mat
S1_2.mat,4536,10999,Toxic,2.mat
S1_2.mat,4536,259230,Toxic,2.mat
S1_2.mat,4536,54675,Toxic,2.mat
S1_2.mat,4536,6526,Toxic,2.mat
S1_2.mat,4537,10999,Toxic,2.mat
S1_2.mat,4537,259230,Toxic,2.mat
S1_2.mat,4537,6526,Toxic,2.mat
S1_2.mat,4538,10999,Toxic,2.mat
S1_2.mat,4538,259230,Toxic,2.mat
S1_2.mat,4538,54675,Toxic,2.mat
S1_2.mat,4538,6526,Toxic,2.mat
S1_2.mat,4539,10999,Toxic,2.mat
S1_2.mat,4539,259230,Toxic,2.mat
S1_2.mat,4539,6526,Toxic,2.mat
S1_2.mat,4540,10999,Toxic,2.mat
S1_2.mat,4540,259230,Toxic,2.mat
S1_2.mat,4540,54675,Toxic,2.mat
S1_2.mat,4540,6526,Toxic,2.mat
S1_2.mat,4541,10999,Toxic,2.mat
S1_2.mat,4541,259230,Toxic,2.mat
S1_2.mat,4541,6526,Toxic,2.mat
S1_2.mat,4694,10999,Toxic,2.mat
S1_2.mat,4694,259230,Toxic,2.mat
S1_2.mat,4694,6526,Toxic,2.mat
S1_2.mat,4695,10999,Toxic,2.mat
S1_2.mat,4695,259230,Toxic,2.mat
S1_2.mat,4695,54675,Toxic,2.mat
S1_2.mat,4695,6526,Toxic,2.mat
S1_2.mat,4696,10999,Toxic,2.mat
S1_2.mat,4696,259230,Toxic,2.mat
S1_2.mat,4696,6526,Toxic,2.mat
S1_2.mat,4697,10999,Toxic,2.mat
S1_2.mat,4697,259230,Toxic,2.mat
S1_2.mat,4697,54675,Toxic,2.mat
S1_2.mat,4697,6526,Toxic,2.mat
S1_2.mat,4698,10999,Toxic,2.mat
S1_2.mat,4698,259230,Toxic,2.mat
S1_2.mat,4698,54675,Toxic,2.mat
S1_2.mat,4698,6526,Toxic,2.mat
S1_2.mat,4700,10999,Toxic,2.mat
S1_2.mat,4700,259230,Toxic,2.mat
S1_2.mat,4700,54675,Toxic,2.mat
S1_2.mat,4700,6526,Toxic,2.mat
S1_2.mat,4701,10999,Toxic,2.mat
S1_2.mat,4701,259230,Toxic,2.mat
S1_2.mat,4701,6526,Toxic,2.mat
S1_2.mat,4702,10999,Toxic,2.mat
S1_2.mat,4702,259230,Toxic,2.mat
S1_2.mat,4702,54675,Toxic,2.mat
S1_2.mat,4702,6526,Toxic,2.mat
S1_2.mat,4704,10999,Toxic,2.mat
S1_2.mat,4704,259230,Toxic,2.mat
S1_2.mat,4704,54675,Toxic,2.mat
S1_2.mat,4704,6526,Toxic,2.mat
S1_2.mat,4705,10999,Toxic,2.mat
S1_2.mat,4705,259230,Toxic,2.mat
S1_2.mat,4705,6526,Toxic,2.mat
S1_2.mat,4706,10999,Toxic,2.mat
S1_2.mat,4706,259230,Toxic,2.mat
S1_2.mat,4706,54675,Toxic,2.mat
S1_2.mat,4706,6526,Toxic,2.mat
S1_2.mat,4707,10999,Toxic,2.mat
S1_2.mat,4707,259230,Toxic,2.mat
S1_2.mat,4707,6526,Toxic,2.mat
S1_2.mat,4708,10999,Toxic,2.mat
S1_2.mat,4708,259230,Toxic,2.mat
S1_2.mat,4708,54675,Toxic,2.mat
S1_2.mat,4708,6526,Toxic,2.mat
S1_2.mat,4709,10999,Toxic,2.mat
S1_2.mat,4709,259230,Toxic,2.mat
S1_2.mat,4709,54675,Toxic,2.mat
S1_2.mat,4709,6526,Toxic,2.mat
S1_2.mat,4710,10999,Toxic,2.mat
S1_2.mat,4710,259230,Toxic,2.mat
S1_2.mat,4710,54675,Toxic,2.mat
S1_2.mat,4710,6526,Toxic,2.mat
S1_2.mat,4711,10999,Toxic,2.mat
S1_2.mat,4711,259230,Toxic,2.mat
S1_2.mat,4711,54675,Toxic,2.mat
S1_2.mat,4711,6526,Toxic,2.mat
S1_2.mat,4713,10999,Toxic,2.mat
S1_2.mat,4713,259230,Toxic,2.mat
S1_2.mat,4713,54675,Toxic,2.mat
S1_2.mat,4713,6526,Toxic,2.mat
S1_2.mat,4714,10999,Toxic,2.mat
S1_2.mat,4714,259230,Toxic,2.mat
S1_2.mat,4714,54675,Toxic,2.mat
S1_2.mat,4714,6526,Toxic,2.mat
S1_2.mat,4715,10999,Toxic,2.mat
S1_2.mat,4715,259230,Toxic,2.mat
S1_2.mat,4715,54675,Toxic,2.mat
S1_2.mat,4715,6526,Toxic,2.mat
S1_2.mat,4716,10999,Toxic,2.mat
S1_2.mat,4716,259230,Toxic,2.mat
S1_2.mat,4716,6526,Toxic,2.mat
S1_2.mat,4717,10999,Toxic,2.mat
S1_2.mat,4717,259230,Toxic,2.mat
S1_2.mat,4717,6526,Toxic,2.mat
S1_2.mat,4718,10999,Toxic,2.mat
S1_2.mat,4718,259230,Toxic,2.mat
S1_2.mat,4718,54675,Toxic,2.mat
S1_2.mat,4718,6526,Toxic,2.mat
S1_2.mat,4719,10999,Toxic,2.mat
S1_2.mat,4719,259230,Toxic,2.mat
S1_2.mat,4719,54675,Toxic,2.mat
S1_2.mat,4719,6526,Toxic,2.mat
S1_2.mat,4720,10999,Toxic,2.mat
S1_2.mat,4720,259230,Toxic,2.mat
S1_2.mat,4720,54675,Toxic,2.mat
S1_2.mat,4720,6526,Toxic,2.mat
S1_2.mat,4722,10999,Toxic,2.mat
S1_2.mat,4722,259230,Toxic,2.mat
S1_2.mat,4722,6526,Toxic,2.mat
S1_2.mat,4723,10999,Toxic,2.mat
S1_2.mat,4723,259230,Toxic,2.mat
S1_2.mat,4723,6526,Toxic,2.mat
S1_2.mat,4724,10999,Toxic,2.mat
S1_2.mat,4724,259230,Toxic,2.mat
S1_2.mat,4724,54675,Toxic,2.mat
S1_2.mat,4724,6526,Toxic,2.mat
S1_2.mat,4725,10999,Toxic,2.mat
S1_2.mat,4725,259230,Toxic,2.mat
S1_2.mat,4725,6526,Toxic,2.mat
S1_2.mat,4726,10999,Toxic,2.mat
S1_2.mat,4726,259230,Toxic,2.mat
S1_2.mat,4726,54675,Toxic,2.mat
S1_2.mat,4726,6526,Toxic,2.mat
S1_2.mat,4728,10999,Toxic,2.mat
S1_2.mat,4728,259230,Toxic,2.mat
S1_2.mat,4728,6526,Toxic,2.mat
S1_2.mat,4729,10999,Toxic,2.mat
S1_2.mat,4729,259230,Toxic,2.mat
S1_2.mat,4729,54675,Toxic,2.mat
S1_2.mat,4729,6526,Toxic,2.mat
S1_2.mat,50484,6240,Toxic,2.mat
S1_2.mat,50484,6241,Toxic,2.mat
S1_2.mat,51079,10999,Toxic,2.mat
S1_2.mat,51079,259230,Toxic,2.mat
S1_2.mat,51079,54675,Toxic,2.mat
S1_2.mat,51079,6526,Toxic,2.mat
S1_2.mat,5162,10999,Toxic,2.mat
S1_2.mat,5162,259230,Toxic,2.mat
S1_2.mat,5162,51727,Toxic,2.mat
S1_2.mat,5162,54675,Toxic,2.mat
S1_2.mat,5162,6526,Toxic,2.mat
S1_2.mat,55967,10999,Toxic,2.mat
S1_2.mat,55967,259230,Toxic,2.mat
S1_2.mat,55967,54675,Toxic,2.mat
S1_2.mat,55967,6526,Toxic,2.mat
S1_2.mat,6566,10999,Toxic,2.mat
S1_2.mat,6566,259230,Toxic,2.mat
S1_2.mat,6566,51727,Toxic,2.mat
S1_2.mat,6566,54675,Toxic,2.mat
S1_2.mat,6566,6526,Toxic,2.mat
S1_2.mat,6584,10999,Toxic,2.mat
S1_2.mat,6584,259230,Toxic,2.mat
S1_2.mat,6584,51727,Toxic,2.mat
S1_2.mat,6584,54675,Toxic,2.mat
S1_2.mat,6584,6526,Toxic,2.mat
S1_2.mat,7389,10999,Toxic,2.mat
S1_2.mat,7389,259230,Toxic,2.mat
S1_2.mat,7389,51727,Toxic,2.mat
S1_2.mat,7389,54675,Toxic,2.mat
S1_2.mat,7389,6526,Toxic,2.mat
S1_2.mat,788,51727,Toxic,2.mat
S1_2.mat,8034,10999,Toxic,2.mat
S1_2.mat,8034,259230,Toxic,2.mat
S1_2.mat,8034,51727,Toxic,2.mat
S1_2.mat,8034,54675,Toxic,2.mat
S1_2.mat,8034,6526,Toxic,2.mat
S1_2.mat,8050,10999,Toxic,2.mat
S1_2.mat,8050,259230,Toxic,2.mat
S1_2.mat,8050,51727,Toxic,2.mat
S1_2.mat,8050,54675,Toxic,2.mat
S1_2.mat,8050,6526,Toxic,2.mat
S1_3D.mat,11212,259230,Safe_,3D.mat
S1_3D.mat,11212,54675,Safe_,3D.mat
S1_3D.mat,11212,6526,Safe_,3D.mat
S1_3D.mat,11212,9791,Safe_,3D.mat
S1_3D.mat,1468,6526,Safe_,3D.mat
S1_3D.mat,1738,6526,Safe_,3D.mat
S1_3D.mat,2271,51727,Safe_,3D.mat
S1_3D.mat,2271,6526,Safe_,3D.mat
S1_3D.mat,51727,6389,Safe_,3D.mat
S1_3D.mat,51727,6390,Safe_,3D.mat
S1_3D.mat,51727,6391,Safe_,3D.mat
S1_3D.mat,51727,6392,Safe_,3D.mat
S1_3D.mat,51727,6526,Safe_,3D.mat
S1_3D.mat,6389,6526,Safe_,3D.mat
S1_3D.mat,6390,6526,Safe_,3D.mat
S1_3D.mat,6391,6526,Safe_,3D.mat
S1_3D.mat,6392,6526,Safe_,3D.mat
S1_3D.mat,7389,6526,Safe_,3D.mat
S1_3D.mat,8801,6526,Safe_,3D.mat
S1_3D.mat,8802,6526,Safe_,3D.mat
S1_3D.mat,1468,259230,Toxic,3D.mat
S1_3D.mat,1468,54675,Toxic,3D.mat
S1_3D.mat,1468,9791,Toxic,3D.mat
S1_3D.mat,1738,259230,Toxic,3D.mat
S1_3D.mat,1738,54675,Toxic,3D.mat
S1_3D.mat,1738,9791,Toxic,3D.mat
S1_3D.mat,2271,259230,Toxic,3D.mat
S1_3D.mat,2271,54675,Toxic,3D.mat
S1_3D.mat,2271,9791,Toxic,3D.mat
S1_3D.mat,2766,51292,Toxic,3D.mat
S1_3D.mat,293,51727,Toxic,3D.mat
S1_3D.mat,51727,259230,Toxic,3D.mat
S1_3D.mat,51727,54675,Toxic,3D.mat
S1_3D.mat,51727,8801,Toxic,3D.mat
S1_3D.mat,51727,8802,Toxic,3D.mat
S1_3D.mat,51727,9791,Toxic,3D.mat
S1_3D.mat,6389,259230,Toxic,3D.mat
S1_3D.mat,6389,54675,Toxic,3D.mat
S1_3D.mat,6389,9791,Toxic,3D.mat
S1_3D.mat,6390,259230,Toxic,3D.mat
S1_3D.mat,6390,54675,Toxic,3D.mat
S1_3D.mat,6390,9791,Toxic,3D.mat
S1_3D.mat,6391,259230,Toxic,3D.mat
S1_3D.mat,6391,54675,Toxic,3D.mat
S1_3D.mat,6391,9791,Toxic,3D.mat
S1_3D.mat,6392,259230,Toxic,3D.mat
S1_3D.mat,6392,54675,Toxic,3D.mat
S1_3D.mat,6392,9791,Toxic,3D.mat
S1_3D.mat,7389,259230,Toxic,3D.mat
S1_3D.mat,7389,54675,Toxic,3D.mat
S1_3D.mat,7389,9791,Toxic,3D.mat
S1_3D.mat,8801,259230,Toxic,3D.mat
S1_3D.mat,8801,54675,Toxic,3D.mat
S1_3D.mat,8801,9791,Toxic,3D.mat
S1_3D.mat,8802,259230,Toxic,3D.mat
S1_3D.mat,8802,54675,Toxic,3D.mat
S1_3D.mat,8802,9791,Toxic,3D.mat
S2_2.mat,11212,259230,Safe_,2.mat
S2_2.mat,11212,54675,Safe_,2.mat
S2_2.mat,51477,6526,Safe_,2.mat
S2_2.mat,1841,60386,Toxic,2.mat
S2_2.mat,2805,2806,Toxic,2.mat
S2_2.mat,2987,4833,Toxic,2.mat
S2_2.mat,2987,50484,Toxic,2.mat
S2_2.mat,2987,60386,Toxic,2.mat
S2_2.mat,2987,6240,Toxic,2.mat
S2_2.mat,2987,6241,Toxic,2.mat
S2_2.mat,50484,6240,Toxic,2.mat
S2_2.mat,50484,6241,Toxic,2.mat
S2_2.mat,8140,9057,Toxic,2.mat
S2_3D.mat,206358,259230,Toxic,3D.mat
S2_3D.mat,206358,51477,Toxic,3D.mat
S2_3D.mat,206358,54675,Toxic,3D.mat
S2_3D.mat,2821,259230,Toxic,3D.mat
S2_3D.mat,2821,51477,Toxic,3D.mat
S2_3D.mat,2821,54675,Toxic,3D.mat
S2_3D.mat,2987,4833,Toxic,3D.mat
S2_3D.mat,2987,50484,Toxic,3D.mat
S2_3D.mat,2987,60386,Toxic,3D.mat
S2_3D.mat,2987,6240,Toxic,3D.mat
S2_3D.mat,2987,6241,Toxic,3D.mat
S2_3D.mat,51228,57704,Toxic,3D.mat
S2_3D.mat,5226,51477,Toxic,3D.mat
S2_3D.mat,6564,6565,Toxic,3D.mat
S2_3D.mat,7389,51477,Toxic,3D.mat
S5_2.mat,11212,1841,Safe_,2.mat
S5_2.mat,11212,259230,Safe_,2.mat
S5_2.mat,11212,54675,Safe_,2.mat
S5_2.mat,1376,1841,Safe_,2.mat
S5_2.mat,1622,1841,Safe_,2.mat
S5_2.mat,23657,875,Safe_,2.mat
S5_2.mat,249,1841,Safe_,2.mat
S5_2.mat,3030,1841,Safe_,2.mat
S5_2.mat,37,1841,Safe_,2.mat
S5_2.mat,4860,1841,Safe_,2.mat
S5_2.mat,6520,875,Safe_,2.mat
S5_2.mat,6576,1841,Safe_,2.mat
S5_2.mat,6584,1841,Safe_,2.mat
S5_2.mat,6647,1841,Safe_,2.mat
S5_2.mat,788,1841,Safe_,2.mat
S5_2.mat,8034,1841,Safe_,2.mat
S5_2.mat,114134,51477,Toxic,2.mat
S5_2.mat,1376,259230,Toxic,2.mat
S5_2.mat,1376,54675,Toxic,2.mat
S5_2.mat,1622,259230,Toxic,2.mat
S5_2.mat,1622,54675,Toxic,2.mat
S5_2.mat,249,259230,Toxic,2.mat
S5_2.mat,249,54675,Toxic,2.mat
S5_2.mat,3030,259230,Toxic,2.mat
S5_2.mat,3030,54675,Toxic,2.mat
S5_2.mat,37,259230,Toxic,2.mat
S5_2.mat,37,54675,Toxic,2.mat
S5_2.mat,4860,259230,Toxic,2.mat
S5_2.mat,4860,54675,Toxic,2.mat
S5_2.mat,50484,6240,Toxic,2.mat
S5_2.mat,50484,6241,Toxic,2.mat
S5_2.mat,6576,259230,Toxic,2.mat
S5_2.mat,6576,54675,Toxic,2.mat
S5_2.mat,6584,259230,Toxic,2.mat
S5_2.mat,6584,54675,Toxic,2.mat
S5_2.mat,6647,259230,Toxic,2.mat
S5_2.mat,6647,54675,Toxic,2.mat
S5_2.mat,788,259230,Toxic,2.mat
S5_2.mat,788,54675,Toxic,2.mat
S5_2.mat,8034,259230,Toxic,2.mat
S5_2.mat,8034,54675,Toxic,2.mat
S5_2.mat,8140,9057,Toxic,2.mat
S5_3D.mat,11212,259230,Safe_,3D.mat
S5_3D.mat,11212,51477,Safe_,3D.mat
S5_3D.mat,11212,54675,Safe_,3D.mat
S5_3D.mat,249,259230,Safe_,3D.mat
S5_3D.mat,249,51477,Safe_,3D.mat
S5_3D.mat,249,54675,Safe_,3D.mat
S5_3D.mat,1806,259230,Toxic,3D.mat
S5_3D.mat,1806,51477,Toxic,3D.mat
S5_3D.mat,1806,54675,Toxic,3D.mat
S5_3D.mat,51228,57704,Toxic,3D.mat
S5_3D.mat,51727,259230,Toxic,3D.mat
S5_3D.mat,51727,51477,Toxic,3D.mat
S5_3D.mat,51727,54675,Toxic,3D.mat
S5_3D.mat,6564,6565,Toxic,3D.mat
S6_2.mat,11212,10999,Safe_,2.mat
S6_2.mat,11212,1719,Safe_,2.mat
S6_2.mat,11212,259230,Safe_,2.mat
S6_2.mat,11212,54675,Safe_,2.mat
S6_2.mat,11212,7298,Safe_,2.mat
S6_2.mat,114134,51477,Safe_,2.mat
S6_2.mat,1622,10999,Safe_,2.mat
S6_2.mat,1622,1719,Safe_,2.mat
S6_2.mat,1622,7298,Safe_,2.mat
S6_2.mat,1635,1854,Safe_,2.mat
S6_2.mat,1635,4831,Safe_,2.mat
S6_2.mat,1635,6647,Safe_,2.mat
S6_2.mat,1841,2030,Safe_,2.mat
S6_2.mat,1841,7084,Safe_,2.mat
S6_2.mat,6584,10999,Safe_,2.mat
S6_2.mat,6584,1719,Safe_,2.mat
S6_2.mat,6584,7298,Safe_,2.mat
S6_2.mat,8034,10999,Safe_,2.mat
S6_2.mat,8034,1719,Safe_,2.mat
S6_2.mat,8034,7298,Safe_,2.mat
S6_2.mat,1622,259230,Toxic,2.mat
S6_2.mat,1622,54675,Toxic,2.mat
S6_2.mat,1841,4833,Toxic,2.mat
S6_2.mat,1841,60386,Toxic,2.mat
S6_2.mat,50484,6240,Toxic,2.mat
S6_2.mat,50484,6241,Toxic,2.mat
S6_2.mat,6584,259230,Toxic,2.mat
S6_2.mat,6584,54675,Toxic,2.mat
S6_2.mat,8034,259230,Toxic,2.mat
S6_2.mat,8034,54675,Toxic,2.mat
S6_2.mat,8140,9057,Toxic,2.mat
S6_3D.mat,114134,259230,Safe_,3D.mat
S6_3D.mat,114134,51477,Safe_,3D.mat
S6_3D.mat,114134,54675,Safe_,3D.mat
S6_3D.mat,1806,259230,Toxic,3D.mat
S6_3D.mat,1806,54675,Toxic,3D.mat
S6_3D.mat,206358,259230,Toxic,3D.mat
S6_3D.mat,206358,54675,Toxic,3D.mat
S6_3D.mat,51071,259230,Toxic,3D.mat
S6_3D.mat,51071,54675,Toxic,3D.mat
S6_3D.mat,5338,259230,Toxic,3D.mat
S6_3D.mat,5338,54675,Toxic,3D.mat
S6_3D.mat,55276,259230,Toxic,3D.mat
S6_3D.mat,55276,54675,Toxic,3D.mat
S6_3D.mat,6564,6565,Toxic,3D.mat
S6_3D.mat,6566,259230,Toxic,3D.mat
S6_3D.mat,6566,54675,Toxic,3D.mat
S7_2.mat,11212,10999,Safe_,2.mat
S7_2.mat,11212,259230,Safe_,2.mat
S7_2.mat,11212,54675,Safe_,2.mat
S7_2.mat,2030,3177,Safe_,2.mat
S7_2.mat,3177,10999,Safe_,2.mat
S7_2.mat,6564,10999,Safe_,2.mat
