Series,Gene1,Gene2,Safe_Toxic,RECON_Model
S16_2.mat,10998,51727,Safe_,2.mat
S16_2.mat,10998,6526,Safe_,2.mat
S16_2.mat,10998,9791,Safe_,2.mat
S16_2.mat,11212,259230,Safe_,2.mat
S16_2.mat,11212,51727,Safe_,2.mat
S16_2.mat,11212,54675,Safe_,2.mat
S16_2.mat,11212,6526,Safe_,2.mat
S16_2.mat,11212,9791,Safe_,2.mat
S16_2.mat,125061,189,Safe_,2.mat
S16_2.mat,1376,51727,Safe_,2.mat
S16_2.mat,1376,6526,Safe_,2.mat
S16_2.mat,1376,9791,Safe_,2.mat
S16_2.mat,1622,51727,Safe_,2.mat
S16_2.mat,1622,6526,Safe_,2.mat
S16_2.mat,1622,9791,Safe_,2.mat
S16_2.mat,1841,4833,Safe_,2.mat
S16_2.mat,189,51727,Safe_,2.mat
S16_2.mat,189,6526,Safe_,2.mat
S16_2.mat,189,8942,Safe_,2.mat
S16_2.mat,189,9791,Safe_,2.mat
S16_2.mat,2180,51727,Safe_,2.mat
S16_2.mat,2180,6526,Safe_,2.mat
S16_2.mat,2180,9791,Safe_,2.mat
S16_2.mat,22934,6526,Safe_,2.mat
S16_2.mat,22934,9791,Safe_,2.mat
S16_2.mat,249,51727,Safe_,2.mat
S16_2.mat,249,6526,Safe_,2.mat
S16_2.mat,249,9791,Safe_,2.mat
S16_2.mat,2806,6509,Safe_,2.mat
S16_2.mat,293,51727,Safe_,2.mat
S16_2.mat,3030,51727,Safe_,2.mat
S16_2.mat,3030,6526,Safe_,2.mat
S16_2.mat,3030,9791,Safe_,2.mat
S16_2.mat,3177,51727,Safe_,2.mat
S16_2.mat,3177,6526,Safe_,2.mat
S16_2.mat,3177,9791,Safe_,2.mat
S16_2.mat,37,51727,Safe_,2.mat
S16_2.mat,37,6526,Safe_,2.mat
S16_2.mat,37,9791,Safe_,2.mat
S16_2.mat,4860,51727,Safe_,2.mat
S16_2.mat,4860,6526,Safe_,2.mat
S16_2.mat,4860,9791,Safe_,2.mat
S16_2.mat,6476,51727,Safe_,2.mat
S16_2.mat,6476,6526,Safe_,2.mat
S16_2.mat,6476,9791,Safe_,2.mat
S16_2.mat,6515,51727,Safe_,2.mat
S16_2.mat,6515,6526,Safe_,2.mat
S16_2.mat,6515,9791,Safe_,2.mat
S16_2.mat,6542,9057,Safe_,2.mat
S16_2.mat,6576,51727,Safe_,2.mat
S16_2.mat,6576,6526,Safe_,2.mat
S16_2.mat,6576,9791,Safe_,2.mat
S16_2.mat,6584,51727,Safe_,2.mat
S16_2.mat,6584,6526,Safe_,2.mat
S16_2.mat,6584,9791,Safe_,2.mat
S16_2.mat,788,51727,Safe_,2.mat
S16_2.mat,788,6526,Safe_,2.mat
S16_2.mat,788,9791,Safe_,2.mat
S16_2.mat,8034,51727,Safe_,2.mat
S16_2.mat,8034,6526,Safe_,2.mat
S16_2.mat,8034,9791,Safe_,2.mat
S16_2.mat,9415,51727,Safe_,2.mat
S16_2.mat,9415,6526,Safe_,2.mat
S16_2.mat,9415,9791,Safe_,2.mat
S16_2.mat,10998,259230,Toxic,2.mat
S16_2.mat,10998,54675,Toxic,2.mat
S16_2.mat,1376,259230,Toxic,2.mat
S16_2.mat,1376,54675,Toxic,2.mat
S16_2.mat,1622,259230,Toxic,2.mat
S16_2.mat,1622,54675,Toxic,2.mat
S16_2.mat,1841,60386,Toxic,2.mat
S16_2.mat,189,259230,Toxic,2.mat
S16_2.mat,189,54675,Toxic,2.mat
S16_2.mat,2180,259230,Toxic,2.mat
S16_2.mat,2180,54675,Toxic,2.mat
S16_2.mat,22934,259230,Toxic,2.mat
S16_2.mat,22934,54675,Toxic,2.mat
S16_2.mat,249,259230,Toxic,2.mat
S16_2.mat,249,54675,Toxic,2.mat
S16_2.mat,3030,259230,Toxic,2.mat
S16_2.mat,3030,54675,Toxic,2.mat
S16_2.mat,3177,259230,Toxic,2.mat
S16_2.mat,3177,54675,Toxic,2.mat
S16_2.mat,37,259230,Toxic,2.mat
S16_2.mat,37,54675,Toxic,2.mat
S16_2.mat,4860,259230,Toxic,2.mat
S16_2.mat,4860,54675,Toxic,2.mat
S16_2.mat,50484,6240,Toxic,2.mat
S16_2.mat,50484,6241,Toxic,2.mat
S16_2.mat,6476,259230,Toxic,2.mat
S16_2.mat,6476,54675,Toxic,2.mat
S16_2.mat,6515,259230,Toxic,2.mat
S16_2.mat,6515,54675,Toxic,2.mat
