,Drug,Gene_Pair,Number_Genes,Phenotype_Essentiality,Phenotype_Safety,Pathways
38,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
39,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
40,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
41,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
42,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
43,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
44,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
45,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
46,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
47,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
48,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
49,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
50,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
51,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
52,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
53,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
54,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
55,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
56,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
57,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, extracellular"
58,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, mitochondrial"
59,Gemcitabine,SLC29A2,3,1.33,1.0,"Transport, nuclear"
60,Gemcitabine,SLC29A1,3,1.33,1.0,"Transport, extracellular"
61,Gemcitabine,SLC29A1,3,1.33,1.0,"Transport, mitochondrial"
62,Gemcitabine,SLC29A1,3,1.33,1.0,"Transport, extracellular"
63,Gemcitabine,SLC29A1,3,1.33,1.0,"Transport, mitochondrial"
64,Gemcitabine,SLC29A1,3,1.33,1.0,"Transport, extracellular"
65,Gemcitabine,SLC29A1,3,1.33,1.0,"Transport, extracellular"
66,Gemcitabine,SLC29A1,3,1.33,1.0,"Transport, extracellular"
67,Gemcitabine,SLC29A1,3,1.33,1.0,"Transport, mitochondrial"
68,Gemcitabine,SLC29A1,3,1.33,1.0,"Transport, extracellular"
69,Gemcitabine,SLC29A1,3,1.33,1.0,"Transport, extracellular"
70,Gemcitabine,SLC29A1,3,1.33,1.0,"Transport, mitochondrial"
71,Gemcitabine,SLC29A1,3,1.33,1.0,"Transport, nuclear"
72,Gemcitabine,TYMS,3,1.33,1.0,Nucleotide interconversion
73,Trifluridine,TYMS,3,1.0,1.0,Nucleotide interconversion
74,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
75,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
76,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
77,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
78,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
79,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
80,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
81,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
82,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
83,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
84,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
85,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
86,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
87,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
88,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
89,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
90,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
91,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, extracellular"
92,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, mitochondrial"
93,Trifluridine,SLC29A2,3,1.0,1.0,"Transport, nuclear"
94,Trifluridine,SLC29A1,3,1.0,1.0,"Transport, extracellular"
95,Trifluridine,SLC29A1,3,1.0,1.0,"Transport, mitochondrial"
96,Trifluridine,SLC29A1,3,1.0,1.0,"Transport, extracellular"
97,Trifluridine,SLC29A1,3,1.0,1.0,"Transport, mitochondrial"
98,Trifluridine,SLC29A1,3,1.0,1.0,"Transport, extracellular"
99,Trifluridine,SLC29A1,3,1.0,1.0,"Transport, extracellular"
100,Trifluridine,SLC29A1,3,1.0,1.0,"Transport, extracellular"
101,Trifluridine,SLC29A1,3,1.0,1.0,"Transport, mitochondrial"
102,Trifluridine,SLC29A1,3,1.0,1.0,"Transport, extracellular"
103,Trifluridine,SLC29A1,3,1.0,1.0,"Transport, extracellular"
104,Trifluridine,SLC29A1,3,1.0,1.0,"Transport, mitochondrial"
105,Trifluridine,SLC29A1,3,1.0,1.0,"Transport, nuclear"
106,Trifluridine,TYMP,3,1.0,1.0,Pyrimidine catabolism
107,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
108,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
109,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
110,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
111,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
112,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
113,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
114,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
115,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
116,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
117,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
118,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
119,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
120,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
121,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
122,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
123,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
124,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, extracellular"
125,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, mitochondrial"
126,Mercaptopurine,SLC29A2,2,3.0,1.0,"Transport, nuclear"
127,Mercaptopurine,SLC29A1,2,3.0,1.0,"Transport, extracellular"
128,Mercaptopurine,SLC29A1,2,3.0,1.0,"Transport, mitochondrial"
129,Mercaptopurine,SLC29A1,2,3.0,1.0,"Transport, extracellular"
130,Mercaptopurine,SLC29A1,2,3.0,1.0,"Transport, mitochondrial"
131,Mercaptopurine,SLC29A1,2,3.0,1.0,"Transport, extracellular"
132,Mercaptopurine,SLC29A1,2,3.0,1.0,"Transport, extracellular"
133,Mercaptopurine,SLC29A1,2,3.0,1.0,"Transport, extracellular"
134,Mercaptopurine,SLC29A1,2,3.0,1.0,"Transport, mitochondrial"
135,Mercaptopurine,SLC29A1,2,3.0,1.0,"Transport, extracellular"
136,Mercaptopurine,SLC29A1,2,3.0,1.0,"Transport, extracellular"
137,Mercaptopurine,SLC29A1,2,3.0,1.0,"Transport, mitochondrial"
138,Mercaptopurine,SLC29A1,2,3.0,1.0,"Transport, nuclear"
139,Mercaptopurine,PPAT,2,3.0,1.0,Purine synthesis
140,Mercaptopurine,HPRT1,2,3.0,1.0,Purine catabolism
141,Mercaptopurine,HPRT1,2,3.0,1.0,Nucleotide salvage pathway
142,Mercaptopurine,HPRT1,2,3.0,1.0,Nucleotide salvage pathway
143,Tegafur-uracil,TYMS,2,1.0,1.0,Nucleotide interconversion
144,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
145,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
146,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
147,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
148,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
149,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
150,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
151,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
152,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
153,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
154,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
155,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
156,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
157,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
158,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
159,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
160,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
161,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, extracellular"
162,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, mitochondrial"
163,Tegafur-uracil,SLC29A2,2,1.0,1.0,"Transport, nuclear"
164,Tegafur-uracil,SLC29A1,2,1.0,1.0,"Transport, extracellular"
165,Tegafur-uracil,SLC29A1,2,1.0,1.0,"Transport, mitochondrial"
166,Tegafur-uracil,SLC29A1,2,1.0,1.0,"Transport, extracellular"
167,Tegafur-uracil,SLC29A1,2,1.0,1.0,"Transport, mitochondrial"
168,Tegafur-uracil,SLC29A1,2,1.0,1.0,"Transport, extracellular"
169,Tegafur-uracil,SLC29A1,2,1.0,1.0,"Transport, extracellular"
170,Tegafur-uracil,SLC29A1,2,1.0,1.0,"Transport, extracellular"
171,Tegafur-uracil,SLC29A1,2,1.0,1.0,"Transport, mitochondrial"
172,Tegafur-uracil,SLC29A1,2,1.0,1.0,"Transport, extracellular"
173,Tegafur-uracil,SLC29A1,2,1.0,1.0,"Transport, extracellular"
174,Tegafur-uracil,SLC29A1,2,1.0,1.0,"Transport, mitochondrial"
175,Tegafur-uracil,SLC29A1,2,1.0,1.0,"Transport, nuclear"
176,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
177,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
178,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
179,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
180,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
181,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
182,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
183,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
184,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
185,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
186,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
187,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
188,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
189,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
190,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
191,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
192,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
193,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
194,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
195,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
196,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
197,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
198,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
199,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
200,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
201,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
202,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
203,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
204,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
205,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
206,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
207,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
208,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
209,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
210,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
211,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
212,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
213,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
214,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
215,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
216,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
217,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
218,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
219,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
220,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
221,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
222,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
223,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
224,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
225,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
226,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
227,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
228,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
229,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
230,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
231,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
232,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
233,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
234,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
235,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
236,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
237,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
238,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
239,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
240,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
241,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
242,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
243,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
244,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
245,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
246,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
247,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
248,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
249,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
250,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
251,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
252,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
253,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
254,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
255,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
256,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
257,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
258,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
259,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
260,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
261,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
262,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
263,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
264,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
265,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
266,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
267,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
268,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
269,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
270,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
271,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
272,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
273,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
274,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
275,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
276,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
277,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
278,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
279,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
280,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
281,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
282,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
283,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
284,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
285,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
286,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
287,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
288,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
289,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
290,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
291,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
292,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
293,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
294,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
295,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
296,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
297,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
298,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
299,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
300,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
301,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
302,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
303,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
304,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
305,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
306,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
307,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
308,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
309,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
310,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
311,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
312,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
313,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
314,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
315,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
316,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
317,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
318,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
319,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
320,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
321,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
322,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
323,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
324,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
325,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
326,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
327,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
328,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
329,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
330,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
331,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
332,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
333,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
334,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
335,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
336,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
337,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
338,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
339,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
340,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
341,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
342,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
343,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
344,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
345,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
346,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
347,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
348,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
349,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
350,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
351,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
352,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
353,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
354,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
355,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
356,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
357,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
358,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
359,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
360,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
361,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
362,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
363,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
364,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
365,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
366,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
367,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
368,Lisinopril,SLC15A2,1,13.0,0.0,"Transport, extracellular"
