,Drug,Gene_Pair,Number_Genes,Phenotype_Essentiality,Phenotype_Safety,Pathways
0,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
1,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
2,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
3,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
4,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
5,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
6,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
7,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
8,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
9,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
10,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
11,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
12,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
13,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
14,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
15,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
16,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
17,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
18,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
19,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
20,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
21,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
22,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
23,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
24,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
25,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
26,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
27,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
28,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
29,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
30,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
31,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
32,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
33,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
34,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
35,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
36,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
37,Gemcitabine,CMPK1,3,1.33,1.0,Nucleotide interconversion
