"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"WASH7P" 23.3681545573563 4.45971463651415 0.239658055122071 18.6086573816289 2.73382533616206e-77 2.90166876331497e-77
"LOC100133331" 17.8452246061768 4.40230653695238 0.219088595741385 20.0937274806805 8.37336388586259e-90 8.95368801153074e-90
"SAMD11" 246.752786543077 3.46414733864819 0.241736124232725 14.3302841048001 1.41540390120234e-46 1.47829884623071e-46
"NOC2L" 1056.68387592848 10.7487871771019 0.0775430864046402 138.616963490618 0 0
"KLHL17" 115.116247109772 6.75991079285736 0.156990035235778 43.0594896211399 0 0
"PLEKHN1" 70.6659007498216 7.39143545416186 0.124456801000727 59.3895664578322 0 0
"HES4" 133.502797196534 5.25726944659667 0.248838277930711 21.1272537742789 4.46788458204911e-99 4.80170454109315e-99
"ISG15" 674.8752009888 5.40698630155766 0.167463084295382 32.2876311773911 1.04331709716504e-228 1.19336549724396e-228
"AGRN" 4569.77029267826 11.5724971581809 0.104902455309157 110.316742578386 0 0
"C1orf159" 104.692908264009 5.83674731057131 0.173377066080644 33.6650483395331 1.87804489659962e-248 2.16450307488117e-248
"SDF4" 1533.31027023648 10.507321802772 0.0942040800736296 111.53786327046 0 0
"B3GALT6" 262.925188211212 7.40097183846855 0.113324450730019 65.3078112516105 0 0
"UBE2J2" 281.058960757215 8.08400959209412 0.0852882893655424 94.7845202692054 0 0
"ACAP3" 251.22125347609 8.29844131695394 0.116925841740188 70.9718330306594 0 0
"PUSL1" 120.179871373053 6.32279609731066 0.147974709612561 42.7288968085526 0 0
"DVL1" 671.816473252213 9.13784464162634 0.113218888707472 80.7095418966367 0 0
"AURKAIP1" 592.399405092732 8.64440917687645 0.107230463782573 80.6152363045297 0 0
"CCNL2" 937.350049503627 9.92340713624047 0.0917298282745398 108.180810134524 0 0
"LOC148413" 163.422574887432 7.32683001226638 0.105422476197075 69.4996956680252 0 0
"MRPL20" 544.202420147961 9.11931260171233 0.0829114520418031 109.988576694019 0 0
"VWA1" 381.909141403112 7.84793577364605 0.141072449485496 55.6305345392964 0 0
"ATAD3B" 88.4814334443221 7.55735945791456 0.144689702941149 52.2314947386993 0 0
