"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"IFI6" 1161.42601865807 2.36078043579333 0.323363731411929 7.30069641850453 2.86282030171305e-13 6.32858561390933e-11
"ZC3H12A" 1033.68742433624 1.67364844134739 0.137881409675575 12.138318322139 6.6172052542401e-34 5.1198262367092e-31
"PDZK1IP1" 897.091961903905 2.44159347187673 0.196663416833405 12.4150872144412 2.16450858091493e-35 1.95382974570588e-32
"NID1" 134.571134685574 -1.25934122424805 0.209377866314612 -6.01468171595443 1.80240481301417e-09 2.95812862644992e-07
"MAP3K8" 561.84014762139 1.05570961189171 0.190833362749314 5.53210191699304 3.16415953670478e-08 4.31870340359685e-06
"ZNF488" 78.398996331349 -1.14488596087032 0.235079980624173 -4.87019761457555 1.11486693223001e-06 9.98036248753342e-05
"NANOS1" 67.2676623344069 -1.5206023741806 0.285152746763428 -5.33258890696271 9.6822337633883e-08 1.21951111773281e-05
"ADAM8" 264.532844640947 1.0163008724873 0.175133802835854 5.80299665758894 6.51400905507031e-09 9.93799240627065e-07
"IRF7" 387.529628310274 1.575621573734 0.245168473383836 6.42668917413047 1.30413099700467e-10 2.43557706199216e-08
"IFITM10" 91.8969763441811 -1.5713130664396 0.194618696564898 -8.07380325823747 6.81416418445285e-16 1.89259042169214e-13
"LOC440028" 30.9434272347696 -1.32521008603503 0.379690686179379 -3.49023595856381 0.000482594240704304 0.0171955947872007
"MYEOV" 600.412416074962 1.33437626063897 0.177731330746659 7.50782799539721 6.01164198837148e-14 1.41561100039217e-11
"P2RY6" 109.896632215271 1.18190769884391 0.229577580867361 5.14818430605711 2.63019993765742e-07 2.87781067926315e-05
"BIRC3" 1393.23239718859 1.66581847919109 0.169286331289567 9.84024207094242 7.55288867761494e-23 3.272515606237e-20
"RND1" 329.460087138938 1.52210761903765 0.222923974550098 6.8279224884158 8.61531101470791e-12 1.76077450776068e-09
"CYP27B1" 36.1882585473605 1.20732978061069 0.234275118795532 5.15346993235082 2.55710090536642e-07 2.85551721720918e-05
"OAS1" 1309.08489626434 1.71195832378493 0.146554473297786 11.68137884339 1.58700068341814e-31 1.07439946267408e-28
"OAS3" 2475.0191099928 1.31787291804431 0.134173776504167 9.82213478953083 9.0408367798875e-23 3.76655169229775e-20
"IRF9" 468.13717370116 1.25340574981063 0.100104594290568 12.5209612874754 5.73364890271839e-36 5.6460804467496e-33
"SERPINA3" 8431.71876098355 1.46681097134773 0.137163071677663 10.6939204073439 1.08677859223113e-26 5.60570748145126e-24
"TNFAIP2" 6043.79110433035 1.54912510097293 0.114892196998042 13.4832925250731 1.96154134300134e-41 2.36082398082117e-38
"C15orf48" 646.807618716561 1.23806828126818 0.102352530604317 12.0961179362962 1.10724625721572e-33 7.99579430544046e-31
"BCL2A1" 124.891720510048 2.24897220170819 0.222605352651268 10.1029565323679 5.36013581478096e-24 2.41920796440447e-21
"RHCG" 265.617611822785 1.34805746546593 0.14002801628155 9.62705536551655 6.14656039719972e-22 2.37784079365955e-19
"IL32" 560.719263054161 1.22072799188817 0.125139923559998 9.75490440748828 1.7576618932536e-22 7.05147912137889e-20
"CRYM" 26.7393374578235 -3.18121468484213 0.913084935233769 -3.48402931872671 0.00049392537834974 0.0174843127394915
"STAT5A" 133.951385587338 1.12322695162589 0.220780295676198 5.08753259970829 3.62752045792151e-07 3.77820207694287e-05
"ITGB3" 72.1646338504647 1.19771749583026 0.345071977849462 3.47092077222441 0.000518677010258636 0.0179568329281079
"C17orf67" 64.7551550212192 1.35894612138909 0.387670721168447 3.50541335000282 0.000455898874128594 0.0165160421557222
"SOCS3" 458.279626086127 1.0380298607445 0.14050201961711 7.38800668896641 1.49046247427015e-13 3.36347698360298e-11
"C1QTNF1" 716.951059475075 1.8491115860865 0.166313874501864 11.1182040080834 1.02310801079871e-28 6.51900351351275e-26
"C3" 3898.67302917281 1.5075960646123 0.100743065120599 14.9647627140147 1.24768128159084e-50 3.378720910548e-47
"ICAM1" 3127.76771999004 1.86065304669781 0.130355868907162 14.2736423169635 3.19448636883329e-46 5.76711272453369e-43
"CYP4F3" 137.354239596854 -1.08707047604955 0.196166092364274 -5.54158194694978 2.99751239924506e-08 4.21676029982111e-06
"PLA2G4C" 86.6478959051931 1.02917284094626 0.295541587082808 3.48232832849307 0.000497073822724835 0.0175104763791649
"CCDC121" 50.5470588807083 -1.06651065251672 0.335894494422056 -3.17513585434549 0.00149766365421268 0.038144820685659
"CCDC138" 55.1318556867139 -1.1554674470623 0.310002606564357 -3.72728300535248 0.000193555080512164 0.00885130300613295
"IL1A" 1045.1210326985 1.07705291773458 0.131154449775382 8.21209588831466 2.17360580197382e-16 6.36337785053525e-14
"ANKAR" 31.0521870040097 -1.79582233007268 0.475283785799795 -3.77842119535114 0.00015782577904479 0.00756446388766886
"CCL20" 794.298784464448 3.14690923734306 0.160336785354739 19.6268699686141 9.11603904434936e-86 9.87449349283923e-82
"HELZ2" 1106.98616478687 1.01324564672411 0.19025129917045 5.32582774016344 1.0049433661618e-07 1.25121224623731e-05
"MX1" 1047.07680507325 2.50312501561404 0.23321995335552 10.7328939038003 7.13267986783693e-27 3.86305941642048e-24
"PRODH" 42.8778235105629 -1.36030575763128 0.350355228901756 -3.88264722606076 0.000103325417681056 0.00540686436870147
"LIF" 2556.04418600891 1.3079948537726 0.119497498242762 10.9457927823341 6.96061016733732e-28 3.96828049118936e-25
"MAFF" 700.452413023002 1.13641382594536 0.130399301249265 8.7148766523913 2.91075404469889e-18 9.85290244130573e-16
"PDGFB" 361.695760633592 1.01402589280825 0.180834376997043 5.60748409482356 2.05288871596098e-08 2.92590665411702e-06
"TYMP" 321.526325083894 1.03921991416133 0.191059538734021 5.43924643096752 5.35064029462687e-08 6.89977805611884e-06
"IRAK2" 933.254068967037 1.61387919790371 0.132545622563052 12.1760278966285 4.17105945829349e-34 3.47545508094116e-31
"MYLK" 407.603179064292 -1.51396230342406 0.163032078237923 -9.28628475933822 1.59767879167568e-20 5.58259892626806e-18
"PPARGC1A" 103.932992900583 -1.03693810959475 0.202753111174408 -5.11428950997836 3.14924039284216e-07 3.41125719352663e-05
"CXCL1" 2157.79061563067 1.41899149515675 0.138299291971134 10.2602947197512 1.06381559572345e-24 5.01010892733758e-22
"CXCL5" 12315.600415488 3.48275190144493 0.235422933114948 14.7935965938562 1.61109716614463e-49 3.49028090073572e-46
"CXCL3" 988.324335106124 2.24774334359075 0.202337198011394 11.1088982435359 1.1355185834448e-28 6.83329849770784e-26
"CXCL2" 1770.62756437729 1.39241144223115 0.146539664727199 9.50194232273762 2.06011281372042e-21 7.69487655111021e-19
"DDIT4L" 28.2878619699252 2.9701288745679 0.815249976369949 3.64321246324097 0.000269256406186263 0.011348581291088
