Term,Term,Genes,P-value,Overlap,A549_0.02,A549_0.2_ACE2,A549_2,A549_2_ACE2,NHBE_2,Calu3_2
Pyrimidine metabolism,Pyrimidine metabolism,DTYMK;CMPK1;TYMS,2.0588403883296843e-05,3/57,0.0,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806
Protein digestion and absorption,Protein digestion and absorption,SLC7A9;SLC3A1;SLC3A2,8.104295474585264e-05,3/90,0.011111111111111112,0.0,0.011111111111111112,0.022222222222222223,0.022222222222222223,0.0
One carbon pool by folate,One carbon pool by folate,DHFR;TYMS,0.00016080340542650432,2/20,0.0,0.1,0.0,0.0,0.0,0.0
"Glycine, serine and threonine metabolism","Glycine, serine and threonine metabolism",CTH;AGXT,0.0006527118331915356,2/40,0.0,0.025,0.0,0.025,0.025,0.0
Ferroptosis,Ferroptosis,SLC3A2;SLC7A11,0.0006527118331915356,2/40,0.05,0.0,0.05,0.0,0.0,0.0
Glycerophospholipid metabolism,Glycerophospholipid metabolism,PTDSS1;CRLS1,0.0037726178568504133,2/97,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.020618556701030927,0.020618556701030927,0.010309278350515464
Selenocompound metabolism,Selenocompound metabolism,CTH,0.01603407239546545,1/17,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0
Folate biosynthesis,Folate biosynthesis,DHFR,0.02442382371261493,1/26,0.0,0.038461538461538464,0.0,0.0,0.0,0.0
Glyoxylate and dicarboxylate metabolism,Glyoxylate and dicarboxylate metabolism,AGXT,0.02813081042647493,1/30,0.0,0.03333333333333333,0.0,0.0,0.0,0.0
"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",AGXT,0.032745781183053164,1/35,0.0,0.02857142857142857,0.0,0.0,0.0,0.0
Fat digestion and absorption,Fat digestion and absorption,SLC27A4,0.03825634405058935,1/41,0.0,0.024390243902439025,0.0,0.0,0.024390243902439025,0.024390243902439025
Sphingolipid metabolism,Sphingolipid metabolism,SGMS1,0.04373715736448407,1/47,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085
Cysteine and methionine metabolism,Cysteine and methionine metabolism,CTH,0.04373715736448407,1/47,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0
